夜餐	ye4'can1
夜话	ye4'hua4
一箭双雕	yi1'jian4'shuang1'diao1
一砖一瓦	yi1'zhuan1'yi1'wa3
依然故我	yi1'ran2'gu4'wo3
鱼肝油	yu2'gan1'you2
鱼水情	yu2'shui3'qing2
渔火	yu2'huo3
雨布	yu3'bu4
语焉不详	yu3'yan1'bu4'xiang2
预习	yu4'xi2
欲盖弥彰	yu4'gai4'mi2'zhang1
赞美诗	zan4'mei3'shi1
遭逢	zao1'feng2
占先	zhan4'xian1
掌印	zhang3'yin4
褶子	zhe3'zi3
震感	zhen4'gan3
旨趣	zhi3'qu4
至宝	zhi4'bao3
智多星	zhi4'duo1'xing1
逐字逐句	zhu2'zi4'zhu2'ju4
捉奸	zhuo1'jian1
紫丁香	zi3'ding1'xiang1
纵令	zong4'ling4
包装箱	bao1'zhuang1'xiang1
逼上梁山	bi1'shang4'liang2'shan1
闭关	bi4'guan1
边幅	bian1'fu2
贬损	bian3'sun3
不识抬举	bu4'shi2'tai2'ju
不自量力	bu4'zi4'liang4'li4
残本	can2'ben3
蝉翼	chan2'yi4
长圆	chang2'yuan2
潮润	chao2'run4
尘垢	chen2'gou4
成眠	cheng2'mian2
承重	cheng2'zhong4
崇洋媚外	chong2'yang2'mei4'wai4
筹组	chou2'zu3
出操	chu1'cao1
初犯	chu1'fan4
春假	chun1'jia4
蠢动	chun3'dong4
摧枯拉朽	cui1'ku1'la1'xiu3
存活率	cun2'huo2'lv4
打火	da3'huo3
大鸣大放	da4'ming2'da4'fang4
盗名	dao4'ming2
得闲	de2'xian2
顶灯	ding3'deng1
短见	duan3'jian4
多面手	duo1'mian4'shou3
阿谀奉承	e1'yu2'feng4'cheng
尔虞我诈	er3'yu2'wo3'zha4
发射塔	fa1'she4'ta3
发疼	fa1'teng2
飞花	fei1'hua1
飞驶	fei1'shi3
粉黛	fen3'dai4
风凉	feng1'liang2
风习	feng1'xi2
复课	fu4'ke4
复评	fu4'ping2
腹稿	fu4'gao3
概貌	gai4'mao4
擀面杖	gan3'mian4'zhang4
公爹	gong1'die1
恭请	gong1'qing3
狗命	gou3'ming4
姑老爷	gu1'lao3'ye2
骨粉	gu3'fen3
瓜皮帽	gua1'pi2'mao4
