康宁	kang1'ning2
客运段	ke4'yun4'duan4
苦心孤诣	ku3'xin1'gu1'yi4
阔佬	kuo4'lao3
拉屎	la1'shi3
类同	lei4'tong2
冷场	leng3'chang3
傈僳族	li4'su4'zu2
连珠	lian2'zhu1
劣绅	lie4'shen1
翎子	ling2'zi3
六艺	liu4'yi4
美事	mei3'shi4
梦寐	meng4'mei4
名实	ming2'shi2
明媒正娶	ming2'mei2'zheng4'qu3
木梳	mu4'shu1
木已成舟	mu4'yi3'cheng2'zhou1
难以启齿	nan2'yi3'qi3'chi3
脑电图	nao3'dian4'tu2
脑髓	nao3'sui3
尼古丁	ni2'gu3'ding1
捻子	nian3'zi3
怒喝	nu4'he1
怒涛	nu4'tao1
暖气片	nuan3'qi4'pian4
排比	pai2'bi3
判明	pan4'ming2
旁证	pang2'zheng4
朋党	peng2'dang3
偏食	pian1'shi2
漂洗	piao3'xi3
萍水相逢	ping2'shui3'xiang1'feng2
齐唱	qi2'chang4
骑虎难下	qi2'hu3'nan2'xia4
启封	qi3'feng1
起落架	qi3'lao4'jia4
掐指	qia1'zhi3
千卡	qian1'ka3
缱绻	qian3'quan3
枪伤	qiang1'shang1
青梅	qing1'mei2
轻狂	qing1'kuang2
请赏	qing3'shang3
全本	quan2'ben3
三角恋爱	san1'jiao3'lian4'ai4
散架	san3'jia4
丧钟	sang1'zhong1
扫尾	sao3'wei3
煞住	sha4'zhu4
上呼吸道	shang4'hu1'xi1'dao4
蛇蝎	she2'xie1
社队企业	she4'dui4'qi3'ye4
涉险	she4'xian3
神职	shen2'zhi2
声速	sheng1'su4
师娘	shi1'niang2
诗史	shi1'shi3
鲥鱼	shi2'yu2
试销	shi4'xiao1
手下留情	shou3'xia4'liu2'qing2
守株待兔	shou3'zhu1'dai4'tu4
受援	shou4'yuan2
书皮	shu1'pi2
书箱	shu1'xiang1
水红	shui3'hong2
水门	shui3'men2
水榭	shui3'xie4
私囊	si1'nang2
陶俑	tao2'yong3
体腔	ti3'qiang1
铁马	tie3'ma3
铁索桥	tie3'suo3'qiao2
偷闲	tou1'xian2
投递员	tou2'di4'yuan2
团拜	tuan2'bai4
万里无云	wan4'li3'wu2'yun2
为虎作伥	wei4'hu3'zuo4'chang1
胃酸	wei4'suan1
文气	wen2'qi4
问讯	wen4'xun4
握别	wo4'bie2
无牵无挂	wu2'qian1'wu2'gua4
无所用心	wu2'suo3'yong4'xin1
物耗	wu4'hao4
物尽其用	wu4'jin4'qi2'yong4
希求	xi1'qiu2
洗心革面	xi3'xin1'ge2'mian4
铣床	xi3'chuang2
仙逝	xian1'shi4
消暑	xiao1'shu3
宵夜	xiao1'ye4
小业主	xiao3'ye4'zhu3
寻呼台	xun2'hu1'tai2
哑谜	ya3'mi2
烟屁股	yan1'pi4'gu
延时	yan2'shi2
一望无垠	yi1'wang4'wu2'yin2
遗臭万年	yi2'chou4'wan4'nian2
以弱胜强	yi3'ruo4'sheng4'qiang2
义师	yi4'shi1
阴曹	yin1'cao2
引桥	yin3'qiao2
余钱	yu2'qian2
御笔	yu4'bi3
原色	yuan2'se4
原形毕露	yuan2'xing2'bi4'lu4
增白	zeng1'bai2
窄狭	zhai3'xia2
正理	zheng4'li3
知情权	zhi1'qing2'quan2
众叛亲离	zhong4'pan4'qin1'li2
舟桥	zhou1'qiao2
猪娃	zhu1'wa2
主航道	zhu3'hang2'dao4
壮心	zhuang4'xin1
卓有成就	zhuo2'you3'cheng2'jiu4
着床	zhao2'chuang2
自讨没趣	zi4'tao3'mei2'qu4
自叙	zi4'xu4
作料	zuo4'liao
座车	zuo4'che1
安泰	an1'tai4
败阵	bai4'zhen4
搬用	ban1'yong4
伴唱	ban4'chang4
帮会	bang1'hui4
悲愁	bei1'chou2
蓓蕾	bei4'lei3
壁灯	bi4'deng1
伯仲	bo2'zhong4
脖梗儿;脖颈儿	bo2'geng3'er
搏战	bo2'zhan4
不开眼	bu4'kai1'yan3
擦屁股	ca1'pi4'gu3
彩蛋	cai3'dan4
舱位	cang1'wei4
茶叶蛋	cha2'ye4'dan4
长生	chang2'sheng1
成命	cheng2'ming4
痴想	chi1'xiang3
垂涎三尺	chui2'xian2'san1'chi3
醇酒	chun2'jiu3
大难不死	da4'nan4'bu4'si3
大牌	da4'pai2
大虾	da4'xia1
大专生	da4'zhuan1'sheng1
丹桂	dan1'gui4
刀山	dao1'shan1
