机率	ji1'lv4
急风暴雨	ji2'feng1'bao4'yu3
集大成	ji2'da4'cheng2
假案	jia3'an4
奸雄	jian1'xiong2
简体字	jian3'ti3'zi4
贱货	jian4'huo4
浆果	jiang1'guo3
浆洗	jiang1'xi3
讲情面	jiang3'qing2'mian4
交公	jiao1'gong1
狡狯	jiao3'kuai4
校订	jiao4'ding4
校阅	jiao4'yue4
节操	jie2'cao1
金丹	jin1'dan1
绝笔	jue2'bi3
开架	kai1'jia4
开释	kai1'shi4
勘探队	kan1'tan4'dui4
叩击	kou4'ji1
扣帽子	kou4'mao4'zi3
宽以待人	kuan1'yi3'dai4'ren2
岿然	kui1'ran2
来日方长	lai2'ri4'fang1'chang2
冷然	leng3'ran2
力挫	li4'cuo4
料事如神	liao4'shi4'ru2'shen2
榴弹	liu2'dan4
漏电	lou4'dian4
路轨	lu4'gui3
卖关子	mai4'guan1'zi3
满腹经纶	man3'fu4'jing1'lun2
绵密	mian2'mi4
面筋	mian4'jin1
民族自决权	min2'zu2'zi4'jue2'quan2
木屐	mu4'ji1
闹笑话	nao4'xiao4'hua4
逆水	ni4'shui3
排头	pai2'tou2
牌局	pai2'ju2
判案	pan4'an4
胖墩儿	pang4'dun1'er
配伍	pei4'wu3
批办	pi1'ban4
骈文	pian2'wen2
嫔妃	pin2'fei1
漆黑一团	qi1'hei1'yi1'tuan2
齐步走	qi2'bu4'zou3
祈望	qi2'wang4
强心剂	qiang2'xin1'ji4
窃国	qie4'guo2
琴师	qin2'shi1
情夫	qing2'fu1
情郎	qing2'lang2
求贤若渴	qiu2'xian2'ruo4'ke3
曲径通幽	qu1'jing4'tong1'you1
僧徒	seng1'tu2
沙丁鱼	sha1'ding1'yu2
伤悲	shang1'bei1
伤神	shang1'shen2
身架	shen1'jia4
神怪	shen2'guai4
生冷	sheng1'leng3
声名狼藉	sheng1'ming2'lang2'ji2
声腔	sheng1'qiang1
笙歌	sheng1'ge1
石臼	shi2'jiu4
实职	shi2'zhi2
拾取	shi2'qu3
史话	shi3'hua4
示爱	shi4'ai4
事功	shi4'gong1
熟路	shu2'lu4
属相	shu3'xiang
顺手牵羊	shun4'shou3'qian1'yang2
燧石	sui4'shi2
索还	suo3'hai2
台基	tai2'ji1
太空船	tai4'kong1'chuan2
谈锋	tan2'feng1
坦白从宽	tan3'bai2'cong2'kuan1
绦虫	tao1'chong2
套套	tao4'tao4
调节税	tiao2'jie2'shui4
挑拨离间	tiao3'bo1'li2'jian4
听其自然	ting1'qi2'zi4'ran2
停航	ting2'hang2
偷越	tou1'yue4
投拍	tou2'pai1
吞云吐雾	tun1'yun2'tu3'wu4
外借	wai4'jie4
晚育	wan3'yu4
温煦	wen1'xu4
稀有金属	xi1'you3'jin1'shu3
溪涧	xi1'jian4
洗煤	xi3'mei2
喜乐	xi3'le4
喜信	xi3'xin4
闲逸	xian2'yi4
贤臣	xian2'chen2
弦歌	xian2'ge1
向隅	xiang4'yu2
小户人家	xiao3'hu4'ren2'jia1
小账	xiao3'zhang4
小卒	xiao3'zu2
斜线	xie2'xian4
薪资	xin1'zi1
信史	xin4'shi3
星团	xing1'tuan2
行李卷儿	xing2'li'juan3'er
行商	xing2'shang1
杏黄	xing4'huang2
胸片	xiong1'pian4
虚情假意	xu1'qing2'jia3'yi4
雪梨	xue3'li2
血友病	xue4'you3'bing4
扬旗	yang2'qi2
扬琴	yang2'qin2
羊水	yang2'shui3
腰刀	yao1'dao1
耀目	yao4'mu4
一扫而空	yi1'sao3'er2'kong1
倚赖	yi3'lai4
印花布	yin4'hua1'bu4
佣工	yong1'gong1
勇悍	yong3'han4
游侠	you2'xia2
瑜伽;瑜珈	yu2'jia1
殒命	yun3'ming4
运笔	yun4'bi3
贼胆	zei2'dan3
站柜台	zhan4'gui4'tai2
