恶言	e4'yan2
翻跟头	fan1'gen1'tou2
犯事	fan4'shi4
肥瘦	fei2'shou4
奋飞	fen4'fei1
风姿绰约	feng1'zi1'chuo4'yue1
锋芒毕露	feng1'mang2'bi4'lu4
蜂群	feng1'qun2
讽喻	feng3'yu4
佛光	fo2'guang1
扶疏	fu2'shu1
服罪	fu2'zui4
浮财	fu2'cai2
复音	fu4'yin1
富贵病	fu4'gui4'bing4
干打垒	gan1'da3'lei3
干瞪眼	gan1'deng4'yan3
钢索	gang1'suo3
高朋满座	gao1'peng2'man3'zuo4
隔板	ge2'ban3
工日	gong1'ri4
工长	gong1'chang2
狗急跳墙	gou3'ji2'tiao4'qiang2
狗血喷头	gou3'xue4'pen1'tou2
姑子	gu1'zi3
惯犯	guan4'fan4
规整	gui1'zheng3
滚水	gun3'shui3
磙子	gun3'zi3
骇异	hai4'yi4
汉民	han4'min2
河蚌	he2'bang4
核弹	he2'dan4
核军备	he2'jun1'bei4
鸿毛	hong2'mao2
鸿门宴	hong2'men2'yan4
既往不咎	ji4'wang3'bu4'jiu4
寄宿学校	ji4'su4'xue2'xiao4
简体	jian3'ti3
见教	jian4'jiao4
见异思迁	jian4'yi4'si1'qian1
见诸	jian4'zhu1
叫号	jiao4'hao4
叫苦连天	jiao4'ku3'lian2'tian1
孑遗	jie2'yi2
节选	jie2'xuan3
金科玉律	jin1'ke1'yu4'lv4
噤若寒蝉	jin4'ruo4'han2'chan2
京韵大鼓	jing1'yun4'da4'gu3
经年累月	jing1'nian2'lei3'yue4
惊堂木	jing1'tang2'mu4
井绳	jing3'sheng2
警纪	jing3'ji4
旧学	jiu4'xue2
砍价	kan3'jia4
看笑话	kan4'xiao4'hua
苛政	ke1'zheng4
课间操	ke4'jian1'cao1
空洞无物	kong1'dong4'wu2'wu4
空门	kong1'men2
空档	kong1'dang4
困厄	kun4'e4
喇叭裤	la3'ba'ku4
锒铛入狱	lang2'dang1'ru4'yu4
老窖	lao3'jiao4
累加	lei3'jia1
冷箭	leng3'jian4
厉鬼	li4'gui3
鲢鱼	lian2'yu2
镂花	lou4'hua1
马裤	ma3'ku4
曼妙	man4'miao4
曼舞	man4'wu3
冒牌货	mao4'pai2'huo4
眉峰	mei2'feng1
猛禽	meng3'qin2
秘而不宣	mi4'er2'bu4'xuan1
苗情	miao2'qing2
名垂青史	ming2'chui2'qing1'shi3
明矾	ming2'fan2
母带	mu3'dai4
拿获	na2'huo4
拿问	na2'wen4
拟稿	ni3'gao3
年刊	nian2'kan1
年事	nian2'shi4
女家	nv3'jia1
藕荷	ou3'he2
爬格子	pa2'ge2'zi
拼图	pin1'tu2
七老八十	qi1'lao3'ba1'shi2
棋圣	qi2'sheng4
泣诉	qi4'su4
抢点	qiang3'dian3
抢渡	qiang3'du4
巧干	qiao3'gan1
情杀	qing2'sha1
情知	qing2'zhi1
请功	qing3'gong1
取景	qu3'jing3
犬牙交错	quan3'ya2'jiao1'cuo4
缺斤短两	que1'jin1'duan3'liang3
燃烧弹	ran2'shao1'dan4
人模狗样	ren2'mu2'gou3'yang4
三顾茅庐	san1'gu4'mao2'lu2
三生有幸	san1'sheng1'you3'xing4
散热器	san4're4'qi4
搔首弄姿	sao1'shou3'nong4'zi1
伤风败俗	shang1'feng1'bai4'su2
商队	shang1'dui4
上行下效	shang4'xing2'xia4'xiao4
摄录	she4'lu4
深仇大恨	shen1'chou2'da4'hen4
