野食	ye3'shi2
一根筋	yi1'gen1'jin1
一文不名	yi1'wen2'bu4'ming2
遗患	yi2'huan4
遗闻	yi2'wen2
音波	yin1'bo1
有口无心	you3'kou3'wu2'xin1
雨势	yu3'shi4
运道	yun4'dao4
杂烩	za2'hui4
杂活	za2'huo2
杂症	za2'zheng4
在逃犯	zai4'tao2'fan4
赃官	zang1'guan1
增修	zeng1'xiu1
扎手	zha1'shou3
摘引	zhai1'yin3
折叠式	zhe2'die2'shi4
征剿	zheng1'jiao3
正宫	zheng4'gong1
正牌	zheng4'pai2
侄媳妇	zhi2'xi2'fu4
稚子	zhi4'zi3
钟鼓楼	zhong1'gu3'lou2
重价	zhong4'jia4
助产士	zhu4'chan3'shi4
抓瞎	zhua1'xia1
坠马	zhui4'ma3
子目	zi3'mu4
棕黄	zong1'huang2
租价	zu1'jia4
左撇子	zuo3'pie3'zi
坐化	zuo4'hua4
庵堂	an1'tang2
巴豆	ba1'dou4
拜把子	bai4'ba3'zi
保质保量	bao3'zhi4'bao3'liang4
杯盘狼藉	bei1'pan2'lang2'ji2
奔泻	ben1'xie4
比丘尼	bi3'qiu1'ni2
