难言之隐	nan2'yan2'zhi1'yin3
逆行	ni4'xing2
碾子	nian3'zi3
捏一把汗	nie1'yi1'ba3'han4
排档	pai2'dang4
平炉	ping2'lu2
平移	ping2'yi2
铺排	pu1'pai2
其乐无穷	qi2'le4'wu2'qiong2
签注	qian1'zhu4
前因后果	qian2'yin1'hou4'guo3
亲政	qin1'zheng4
情诗	qing2'shi1
亲家公	qing4'jia'gong1
圈占	quan1'zhan4
全息	quan2'xi1
人望	ren2'wang4
三头六臂	san1'tou2'liu4'bi4
三下五除二	san1'xia4'wu3'chu2'er4
筛糠	shai1'kang1
失修	shi1'xiu1
十字街头	shi2'zi4'jie1'tou2
拾级而上	she4'ji2'er2'shang4
史略	shi3'lve4
世系	shi4'xi4
守时	shou3'shi2
书号	shu1'hao4
数罪并罚	shu4'zui4'bing4'fa2
说瞎话	shuo1'xia1'hua4
死结	si3'jie2
送命	song4'ming4
随遇而安	sui2'yu4'er2'an1
台布	tai2'bu4
替罪羊	ti4'zui4'yang2
挑灯	tiao3'deng1
痛击	tong4'ji1
头牌	tou2'pai2
头尾	tou2'wei3
外活儿	wai4'huo2'er2
望族	wang4'zu2
文人墨客	wen2'ren2'mo4'ke4
文弱	wen2'ruo4
务请	wu4'qing3
息息相通	xi1'xi1'xiang1'tong1
下工	xia4'gong1
下问	xia4'wen4
纤纤	xian1'xian1
闲居	xian2'ju1
娴静	xian2'jing4
小旦	xiao3'dan4
斜射	xie2'she4
兴工	xing1'gong1
行色匆匆	xing2'se4'cong1'cong1
喧宾夺主	xuan1'bin1'duo2'zhu3
巡航	xun2'hang2
迅雷不及掩耳	xun4'lei2'bu4'ji2'yan3'er3
哑然	ya3'ran2
疑神疑鬼	yi2'shen2'yi2'gui3
以身试法	yi3'shen1'shi4'fa3
译稿	yi4'gao3
意中人	yi4'zhong1'ren2
因陋就简	yin1'lou4'jiu4'jian3
阴柔	yin1'rou2
引燃	yin3'ran2
印子	yin4'zi3
优缺点	you1'que1'dian3
冤情	yuan1'qing2
崽子	zai3'zi3
掌灯	zhang3'deng1
朝思暮想	zhao1'si1'mu4'xiang3
争雄	zheng1'xiong2
知难而退	zhi1'nan2'er2'tui4
志愿兵	zhi4'yuan4'bing1
忠勇	zhong1'yong3
猪草	zhu1'cao3
主营	zhu3'ying2
转租	zhuan3'zu1
自新	zi4'xin1
阿訇	a1'hong1
昂首阔步	ang2'shou3'kuo4'bu4
白露	bai2'lu4
碑林	bei1'lin2
闭门羹	bi4'men2'geng1
编创	bian1'chuang4
并拢	bing4'long3
不讳	bu4'hui4
采挖	cai3'wa1
彩蝶	cai3'die2
城根	cheng2'gen1
驰电	chi2'dian4
重整旗鼓	chong2'zheng3'qi2'gu3
锄地	chu2'di4
粗鄙	cu1'bi3
措置	cuo4'zhi4
大错特错	da4'cuo4'te4'cuo4
大亨	da4'heng1
怠工	dai4'gong1
当头一棒	dang1'tou2'yi1'bang4
刀法	dao1'fa3
导火线	dao3'huo3'xian4
灯丝	deng1'si1
滴溜溜	di1'liu1'liu1
砥砺	di3'li4
第一夫人	di4'yi1'fu1'ren2
盯视	ding1'shi4
短兵相接	duan3'bing1'xiang1'jie1
