畏友	wei4'you3
温吞水	wen1'tun1'shui3
文不加点	wen2'bu4'jia1'dian3
刎颈交	wen3'jing3'jiao1
问来问去	wen4'lai2'wen4'qu4
无本之木	wu2'ben3'zhi1'mu4
无声无臭	wu2'sheng1'wu2'xiu4
武丑	wu3'chou3
舞星	wu3'xing1
晤见	wu4'jian4
吸附剂	xi1'fu4'ji4
细挑	xi4'tiao
瞎诌	xia1'zhou1
辖制	xia2'zhi4
夏令时	xia4'ling4'shi2
线手套	xian4'shou3'tao4
相辅而行	xiang1'fu3'er2'xing2
销势	xiao1'shi4
小疵	xiao3'ci1
小里小气	xiao3'li3'xiao3'qi4
小循环	xiao3'xun2'huan2
谐美	xie2'mei3
鞋刷	xie2'shua1
心到神知	xin1'dao4'shen2'zhi1
心劳日拙	xin1'lao2'ri4'zhuo1
薪饷	xin1'xiang3
信赏必罚	xin4'shang3'bi4'fa2
星移斗转	xing1'yi2'dou3'zhuan3
行时	xing2'shi2
兴头儿上	xing4'tou2'er'shang
胸花	xiong1'hua1
胸无点墨	xiong1'wu2'dian3'mo4
修盖	xiu1'gai4
朽烂	xiu3'lan4
续稿	xu4'gao3
续假	xu4'jia4
玄青	xuan2'qing1
悬腕	xuan2'wan4
炫示	xuan4'shi4
雪暴	xue3'bao4
血红素	xue4'hong2'su4
巡风	xun2'feng1
烟色	yan1'se4
颜容	yan2'rong2
檐口	yan2'kou3
扬场	yang2'chang2
要端	yao4'duan1
一片冰心	yi1'pian4'bing1'xin1
移用	yi2'yong4
义项	yi4'xiang4
异见	yi4'jian4
逸趣	yi4'qu4
阴干	yin1'gan1
隐形飞机	yin3'xing2'fei1'ji1
印玺	yin4'xi3
勇冠三军	yong3'guan4'san1'jun1
悠悠荡荡	you1'you1'dang4'dang4
邮售	you2'shou4
油星	you2'xing1
釉面砖	you4'mian4'zhuan1
娱悦	yu2'yue4
雨景	yu3'jing3
雨帽	yu3'mao4
郁热	yu4're4
御苑	yu4'yuan4
原宥	yuan2'you4
远因	yuan3'yin1
云汉	yun2'han4
韵调	yun4'diao4
韵书	yun4'shu1
杂税	za2'shui4
枣糕	zao3'gao1
曾孙女	zeng1'sun1'nv3
赠别	zeng4'bie2
诈唬	zha4'hu
诈尸	zha4'shi1
毡靴	zhan1'xue1
站哨	zhan4'shao4
绽露	zhan4'lu4
珍珠霜	zhen1'zhu1'shuang1
枕骨	zhen3'gu3
阵式	zhen4'shi4
震天价	zhen4'tian1'jia4
正日子	zheng4'ri4'zi
正凶	zheng4'xiong1
直愣愣	zhi2'leng4'leng4
职大	zhi2'da4
鸷鸟	zhi4'niao3
智擒	zhi4'qin2
珠兰	zhu1'lan2
猪窝	zhu1'wo1
竹雕	zhu2'diao1
