保证书	bao3'zheng4'shu1
鄙薄	bi3'bo2
铲子	chan3'zi3
扯谎	che3'huang3
沉渣	chen2'zha1
成对	cheng2'dui4
乘便	cheng2'bian4
传讯	chuan2'xun4
春游	chun1'you2
从医	cong2'yi1
寸草不生	cun4'cao3'bu4'sheng1
鞑靼	da2'da2
打从	da3'cong2
大雅之堂	da4'ya3'zhi1'tang2
旦角儿	dan4'jue2'er2
低能	di1'neng2
夺路	duo2'lu4
恶行	e4'xing2
犯病	fan4'bing4
饭桶	fan4'tong3
奋起直追	fen4'qi3'zhi2'zhui1
风湿病	feng1'shi1'bing4
梗塞	geng3'se4
工业国	gong1'ye4'guo2
公敌	gong1'di2
公物	gong1'wu4
功亏一篑	gong1'kui1'yi1'kui4
挂失	gua4'shi1
归档	gui1'dang4
归天	gui1'tian1
诡谲	gui3'jue2
横冲直撞	heng2'chong1'zhi2'zhuang4
后影	hou4'ying3
囫囵	hu2'lun2
互让	hu4'rang4
汇款单	hui4'kuan3'dan1
火冒三丈	huo3'mao4'san1'zhang4
基座	ji1'zuo4
甲等	jia3'deng3
钾盐	jia3'yan2
奸人	jian1'ren2
坚忍	jian1'ren3
兼收并蓄	jian1'shou1'bing4'xu4
降压	jiang4'ya1
浸染	jin4'ran3
旧物	jiu4'wu4
均值	jun1'zhi2
峻岭	jun4'ling3
克己	ke4'ji3
困窘	kun4'jiong3
癞蛤蟆	lai4'ha2'ma
老酒	lao3'jiu3
利欲熏心	li4'yu4'xun1'xin1
连缀	lian2'zhui4
骂骂咧咧	ma4'ma'lie1'lie1
冒尖	mao4'jian1
美男子	mei3'nan2'zi3
奶茶	nai3'cha2
年表	nian2'biao3
排版	pai2'ban3
排骨	pai2'gu3
聘用制	pin4'yong4'zhi4
平行线	ping2'xing2'xian4
叵测	po3'ce4
千奇百怪	qian1'qi2'bai3'guai4
圈地	quan1'di4
人欲	ren2'yu4
如获至宝	ru2'huo4'zhi4'bao3
入神	ru4'shen2
塞北	sai4'bei3
沙暴	sha1'bao4
闪光灯	shan3'guang1'deng1
生离死别	sheng1'li2'si3'bie2
失魂落魄	shi1'hun2'luo4'po4
食量	shi2'liang4
手淫	shou3'yin2
叔伯	shu1'bai
双人床	shuang1'ren2'chuang2
水军	shui3'jun1
顺乎	shun4'hu1
送终	song4'zhong1
提亲	ti2'qin1
托福	tuo1'fu2
外海	wai4'hai3
违宪	wei2'xian4
文才	wen2'cai2
西文	xi1'wen2
洗牌	xi3'pai2
香槟	xiang1'bin1
心细	xin1'xi4
星星之火	xing1'xing1'zhi1'huo3
行包	xing2'bao1
幸运儿	xing4'yun4'er2
旭日	xu4'ri4
迅捷	xun4'jie2
哑剧	ya3'ju4
言外之意	yan2'wai4'zhi1'yi4
研习	yan2'xi2
耀武扬威	yao4'wu3'yang2'wei1
遗恨	yi2'hen4
疑义	yi2'yi4
预演	yu4'yan3
乐谱	yue4'pu3
云游	yun2'you2
曾孙	zeng1'sun1
站牌	zhan4'pai2
职高	zhi2'gao1
致密	zhi4'mi4
主人家	zhu3'ren2'jia1
柱石	zhu4'shi2
转圜	zhuan3'huan2
走穴	zou3'xue2
组织性	zu3'zhi1'xing4
钻空子	zuan1'kong4'zi
阿拉伯语	a1'la1'bo2'yu3
被刺	bei4'ci4
避雨	bi4'yu3
冰凌	bing1'ling2
不可同日而语	bu4'ke3'tong2'ri4'er2'yu3
布雷	bu4'lei2
布展	bu4'zhan3
簿子	bu4'zi3
侧门	ce4'men2
偿命	chang2'ming4
承包制	cheng2'bao1'zhi4
吃素	chi1'su4
重审	chong2'shen3
初赛	chu1'sai4
大班	da4'ban1
大义凛然	da4'yi4'lin3'ran2
倒毙	dao3'bi4
等号	deng3'hao4
匪夷所思	fei3'yi2'suo3'si1
