无源之水，无本之木	wu2'yuan2'zhi1'shui3'wu2'ben3'zhi1'mu4
午餐肉	wu3'can1'rou4
雾沉沉	wu4'chen2'chen2
西乐	xi1'yue4
锡器	xi1'qi4
洗烫	xi3'tang4
洗衣板	xi3'yi1'ban3
喜盈门	xi3'ying2'men2
细高挑儿	xi4'gao1'tiao3'er
细故	xi4'gu4
狎妓	xia2'ji4
下场门	xia4'chang3'men2
限止	xian4'zhi3
腺瘤	xian4'liu2
些个	xie1'ge
歇夏	xie1'xia4
卸包袱	xie4'bao1'fu
心广体胖	xin1'guang3'ti3'pan2
新寡	xin1'gua3
新禧	xin1'xi3
星汉	xing1'han4
行笔	xing2'bi3
行成于思	xing2'cheng2'yu2'sai1
秀慧	xiu4'hui4
虚造	xu1'zao4
序目	xu4'mu4
续貂	xu4'diao1
蓄志	xu4'zhi4
悬揣	xuan2'chuai3
悬灯结彩	xuan2'deng1'jie2'cai3
选场	xuan3'chang3
削壁	xue1'bi4
削铁如泥	xue1'tie3'ru2'ni2
巡守	xun2'shou3
严命	yan2'ming4
眼库	yan3'ku4
眼跳	yan3'tiao4
验核	yan4'he2
殃及池鱼	yang1'ji2'chi2'yu2
羊皮筏	yang2'pi2'fa2
阳电	yang2'dian4
佯败	yang2'bai4
仰八叉	yang3'ba'cha1
妖物	yao1'wu4
妖雾	yao1'wu4
窑坑	yao2'keng1
疟子	yao4'zi
药皂	yao4'zao4
药渣	yao4'zha1
要言不烦	yao4'yan2'bu4'fan2
椰汁	ye1'zhi1
业师	ye4'shi1
一触即溃	yi1'chu4'ji2'kui4
一棍子打死	yi1'gun4'zi'da3'si3
一孔之见	yi1'kong3'zhi1'jian4
怡悦	yi2'yue4
姨表	yi2'biao3
疑阵	yi2'zhen4
彝文	yi2'wen2
亿万斯年	yi4'wan4'si1'nian2
役畜	yi4'chu4
癔病	yi4'bing4
阴惨	yin1'can3
阴宅	yin1'zhai2
淫巧	yin2'qiao3
应门	ying4'men2
硬充	ying4'chong1
用工夫	yong4'gong1'fu
优渥	you1'wo4
酉时	you3'shi2
右肋	you4'lei4
迂论	yu1'lun4
余利	yu2'li4
鱼鳞坑	yu2'lin2'keng1
榆木疙瘩	yu2'mu4'ge1'da
愚蒙	yu2'meng2
远谋	yuan3'mou2
远缘	yuan3'yuan2
月台票	yue4'tai2'piao4
月头儿	yue4'tou2'er
月尾	yue4'wei3
月终	yue4'zhong1
暂用	zan4'yong4
甑子	zeng4'zi3
扎花	zha1'hua1
掌班	zhang3'ban1
招女婿	zhao1'nv3'xu
折戟沉沙	zhe2'ji3'chen2'sha1
赭黄色	zhe3'huang2'se4
蔗田	zhe4'tian2
震波	zhen4'bo1
知友	zhi1'you3
指腹为婚	zhi3'fu4'wei2'hun1
治装	zhi4'zhuang1
置评	zhi4'ping2
中幡	zhong1'fan1
中药房	zhong1'yao4'fang2
竹纸	zhu2'zhi3
主厨	zhu3'chu2
抓空儿	zhua1'kong4'er
转注	zhuan3'zhu4
庄院	zhuang1'yuan4
追补	zhui1'bu3
赘肉	zhui4'rou4
资材	zi1'cai2
自爆	zi4'bao4
自动门	zi4'dong4'men2
棕绳	zong1'sheng2
走读生	zou3'du2'sheng1
族亲	zu2'qin1
组办	zu3'ban4
钻天杨	zuan4'tian1'yang2
钻工	zuan4'gong1
作速	zuo4'su4
作秀	zuo4'xiu4
坐收渔利	zuo4'shou1'yu2'li4
坐夜	zuo4'ye4
坐赃	zuo4'zang1
爱答不理	ai4'da1'bu4'li3
八字脚	ba1'zi4'jiao3
拔取	ba2'qu3
把揽	ba3'lan
白醋	bai2'cu4
白润	bai2'run4
白斩鸡	bai2'zhan3'ji1
棒糖	bang4'tang2
包蕴	bao1'yun4
饱食终日，无所用心	bao3'shi2'zhong1'ri4'wu2'suo3'yong4'xin1
报幕员	bao4'mu4'yuan2
抱窝	bao4'wo1
爆棚	bao4'peng2
鼻儿	bi2'er
毕剥	bi4'bo1
