奖勤罚懒	jiang3'qin2'fa2'lan3
酱园	jiang4'yuan2
绞索	jiao3'suo3
结晶体	jie2'jing1'ti3
借花献佛	jie4'hua1'xian4'fo2
京味儿	jing1'wei4'er2
精神头儿	jing1'shen'tou2'er
九牛一毛	jiu3'niu2'yi1'mao2
刊头	kan1'tou2
看得上	kan4'de2'shang4
烤鸡	kao3'ji1
肯于	ken3'yu2
空勤	kong1'qin2
恐怖片	kong3'bu4'pian4
口形	kou3'xing2
口译	kou3'yi4
苦活儿	ku3'huo2'er
奎宁	kui2'ning2
喇叭口	la3'ba'kou3
篮筐	lan2'kuang1
老骨头	lao3'gu3'tou
了局	liao3'ju2
零活儿	ling2'huo2'er
零七八碎	ling2'qi1'ba1'sui4
溜滑	liu1'hua2
鎏金	liu2'jin1
鸬鹚	lu2'ci2
慢慢腾腾	man4'man4'teng2'teng2
毛躁	mao2'zao4
门巴族	men2'ba1'zu2
苗期	miao2'qi1
秒表	miao3'biao3
篾片	mie4'pian4
名人效应	ming2'ren2'xiao4'ying4
明鉴	ming2'jian4
秣马厉兵	mo4'ma3'li4'bing1
墨迹未干	mo4'ji4'wei4'gan1
牧畜	mu4'xu4
牧羊犬	mu4'yang2'quan3
拿办	na2'ban4
南音	nan2'yin1
内窥镜	nei4'kui1'jing4
逆党	ni4'dang3
娘亲	niang2'qin1
女气	nv3'qi
啪嗒	pa1'da1
判词	pan4'ci2
陪绑	pei2'bang3
配属	pei4'shu3
硼酸	peng2'suan1
披麻戴孝	pi1'ma2'dai4'xiao4
皮糖	pi2'tang2
皮相	pi2'xiang4
啤酒花	pi2'jiu3'hua1
飘悠	piao1'you1
破烂儿	po4'lan4'er2
铺叙	pu1'xu4
普洱茶	pu3'er3'cha2
奇志	qi2'zhi4
棋风	qi2'feng1
起夜	qi3'ye4
黔驴技穷	qian2'lv2'ji4'qiong2
枪机	qiang1'ji1
清水衙门	qing1'shui3'ya2'men2
请援	qing3'yuan2
曲尺	qu1'chi3
犬马之劳	quan3'ma3'zhi1'lao2
绕路	rao4'lu4
热岛效应	re4'dao3'xiao4'ying4
认生	ren4'sheng1
日上三竿	ri4'shang4'san1'gan1
乳酪	ru3'lao4
软蛋	ruan3'dan4
软指标	ruan3'zhi3'biao1
闰年	run4'nian2
三合板	san1'he2'ban3
傻呵呵	sha3'he1'he1
删繁就简	shan1'fan2'jiu4'jian3
潸潸	shan1'shan1
商酌	shang1'zhuo2
上座儿	shang4'zuo4'er
生财有道	sheng1'cai2'you3'dao4
生漆	sheng1'qi1
生物链	sheng1'wu4'lian4
声辩	sheng1'bian4
失检	shi1'jian3
石棉瓦	shi2'mian2'wa3
实至名归	shi2'zhi4'ming2'gui1
誓愿	shi4'yuan4
授命	shou4'ming4
兽行	shou4'xing2
束装	shu4'zhuang1
树大招风	shu4'da4'zhao1'feng1
四则	si4'ze2
松节油	song1'jie2'you2
送灶	song4'zao4
夙兴夜寐	su4'xing1'ye4'mei4
素淡	su4'dan4
随迁	sui2'qian1
泰山压顶	tai4'shan1'ya1'ding3
探雷	tan4'lei2
淌汗	tang3'han4
桃红柳绿	tao2'hong2'liu3'lv4
鹈鹕	ti2'hu2
体认	ti3'ren4
天葬	tian1'zang4
田舍	tian2'she4
听诊	ting1'zhen3
同门	tong2'men2
透心凉	tou4'xin1'liang2
