温故知新	wen1'gu4'zhi1'xin1
文武全才	wen2'wu3'quan2'cai2
文竹	wen2'zhu2
五马分尸	wu3'ma3'fen1'shi1
下首	xia4'shou3
下弦	xia4'xian2
闲愁	xian2'chou2
显圣	xian3'sheng4
现房	xian4'fang2
消食	xiao1'shi2
销纳	xiao1'na4
销行	xiao1'xing2
小萝卜	xiao3'luo2'bo
小写	xiao3'xie3
孝悌	xiao4'ti4
协奏	xie2'zou4
谢忱	xie4'chen2
形影相吊	xing2'ying3'xiang1'diao4
绪论	xu4'lun4
学习机	xue2'xi2'ji1
训词	xun4'ci2
徇情	xun4'qing2
盐工	yan2'gong1
盐矿	yan2'kuang4
眼高手低	yan3'gao1'shou3'di1
验明正身	yan4'ming2'zheng4'shen1
邀赏	yao1'shang3
要账	yao4'zhang4
夜场	ye4'chang3
一闪念	yi1'shan3'nian4
一张一弛	yi1'zhang1'yi1'chi2
依顺	yi1'shun4
仪态万方	yi2'tai4'wan4'fang1
异趣	yi4'qu4
银狐	yin2'hu2
颖悟	ying3'wu4
悠悠忽忽	you1'you1'hu1'hu1
悠游	you1'you2
油光水滑	you2'guang1'shui3'hua2
油毛毡	you2'mao2'zhan1
迂缓	yu1'huan3
余音绕梁	yu2'yin1'rao4'liang2
愚人节	yu2'ren2'jie2
玉佩	yu4'pei4
裕如	yu4'ru2
冤孽	yuan1'nie4
远途	yuan3'tu2
月令	yue4'ling4
栽秧	zai1'yang1
宰人	zai3'ren2
在聘	zai4'pin4
折皱	zhe2'zhou4
枕戈待旦	zhen3'ge1'dai4'dan4
争名夺利	zheng1'ming2'duo2'li4
正字	zheng4'zi4
证婚	zheng4'hun1
脂膏	zhi1'gao1
志哀	zhi4'ai1
众口难调	zhong4'kou3'nan2'tiao2
周波	zhou1'bo1
竹席	zhu2'xi2
注音字母	zhu4'yin1'zi4'mu3
转圈子	zhuan4'quan1'zi3
壮阳	zhuang4'yang2
追根究底	zhui1'gen1'jiu1'di3
紫云英	zi3'yun2'ying1
自馁	zi4'nei3
自行火炮	zi4'xing2'huo3'pao4
钻杆	zuan4'gan3
嘴直	zui3'zhi2
坐商	zuo4'shang1
挨肩儿	ai1'jian1'er
安贫乐道	an1'pin2'le4'dao4
暗房	an4'fang2
暗泣	an4'qi4
百思不解	bai3'si1'bu4'jie3
拜客	bai4'ke4
板擦儿	ban3'ca1'er
板条	ban3'tiao2
包换	bao1'huan4
保险期	bao3'xian3'qi1
保育院	bao3'yu4'yuan4
爆肚儿	bao4'du3'er
卑躬屈膝	bei1'gong1'qu1'xi1
倍率	bei4'lv4
鼻窦炎	bi2'dou4'yan2
比及	bi3'ji2
贬官	bian3'guan1
表决器	biao3'jue2'qi4
表盘	biao3'pan2
玻璃丝	bo1'li2'si1
不胜其烦	bu4'sheng4'qi2'fan2
才疏学浅	cai2'shu1'xue2'qian3
