钟鼎文	zhong1'ding3'wen2
猪倌儿	zhu1'guan1'er
竹箱	zhu2'xiang1
助桀为虐	zhu4'jie2'wei2'nue4
著作人	zhu4'zuo4'ren2
抓差	zhua1'cha1
撞骗	zhuang4'pian4
撞针	zhuang4'zhen1
追缉	zhui1'ji1
濯濯	zhuo2'zhuo2
滋蔓	zi1'man4
子囊	zi3'nang2
自咎	zi4'jiu4
自况	zi4'kuang4
宗主权	zong1'zhu3'quan2
总起来看	zong3'qi3'lai2'kan4
足金	zu2'jin1
钻劲儿	zuan4'jin4'er2
嘴碎	zui3'sui4
尊驾	zun1'jia4
作脸	zuo4'lian3
挨边儿	ai1'bian1'er2
安土重迁	an1'tu3'zhong4'qian1
笆斗	ba1'dou3
罢教	ba4'jiao4
白案	bai2'an4
白道	bai2'dao4
拜物教	bai4'wu4'jiao4
帮补	bang1'bu3
胞兄弟	bao1'xiong1'di
宝号	bao3'hao4
报失	bao4'shi1
报站	bao4'zhan4
背筐	bei1'kuang1
悲思	bei1'si1
碑额	bei1'e2
备悉	bei4'xi1
笨头笨脑	ben4'tou2'ben4'nao3
绷脸	beng3'lian3
迸飞	jin4'fei1
笔套	bi3'tao4
笔形	bi3'xing2
碧油油	bi4'you2'you2
变色镜	bian4'se4'jing4
辩诉	bian4'su4
表针	biao3'zhen1
裱褙	biao3'bei4
冰床	bing1'chuang2
驳岸	bo2'an4
薄荷脑	bo4'he'nao3
擘划	bo4'hua4
不成才	bu4'cheng2'cai2
不大离	bu4'da4'li2
不冻港	bu4'dong4'gang3
不老少	bu4'lao3'shao4
步人后尘	bu4'ren2'hou4'chen2
簿籍	bu4'ji2
