顶天立地	ding3'tian1'li4'di4
洞悉	dong4'xi1
公牛	gong1'niu2
官本位	guan1'ben3'wei4
婚纱	hun1'sha1
甲状腺	jia3'zhuang4'xian4
俭朴	jian3'pu3
跨行业	kua4'hang2'ye4
来路	lai2'lu4
露头	lou4'tou2
木器	mu4'qi4
脑力	nao3'li4
菩提	pu2'ti2
妻室	qi1'shi4
闪失	shan3'shi1
水势	shui3'shi4
唐突	tang2'tu1
躺椅	tang3'yi3
逃税	tao2'shui4
腿子	tui3'zi3
慰问电	wei4'wen4'dian4
问津	wen4'jin1
窝头	wo1'tou2
无私无畏	wu2'si1'wu2'wei4
献计	xian4'ji4
相干	xiang1'gan1
消防车	xiao1'fang2'che1
雄心壮志	xiong2'xin1'zhuang4'zhi4
异域	yi4'yu4
硬仗	ying4'zhang4
窄小	zhai3'xiao3
照理	zhao4'li3
整肃	zheng3'su4
支前	zhi1'qian2
置办	zhi4'ban4
吧台	ba1'tai2
伯乐	bo2'le4
不日	bu4'ri4
出殡	chu1'bin4
词曲	ci2'qu3
辞世	ci2'shi4
大巴	da4'ba1
顶棚	ding3'peng2
冬运会	dong1'yun4'hui4
发话	fa1'hua4
甘露	gan1'lu4
古稀	gu3'xi1
归附	gui1'fu4
过眼	guo4'yan3
合围	he2'wei2
哄抬	hong1'tai2
还本	huan2'ben3
给养	ji3'yang3
金钥匙	jin1'yao4'shi
聚餐	ju4'can1
乱砍滥伐	luan4'kan3'lan4'fa2
摸爬滚打	mo1'pa2'gun3'da3
内燃机	nei4'ran2'ji1
狞笑	ning2'xiao4
排外	pai2'wai4
陪嫁	pei2'jia4
披挂	pi1'gua4
铺位	pu4'wei4
取信	qu3'xin4
热风	re4'feng1
人氏	ren2'shi4
散场	san4'chang3
誓词	shi4'ci2
书香	shu1'xiang1
倏忽	shu1'hu1
限价	xian4'jia4
相向	xiang1'xiang4
笑容可掬	xiao4'rong2'ke3'ju1
湮没	yan1'mo4
油路	you2'lu4
怨声载道	yuan4'sheng1'zai4'dao4
脏话	zang1'hua4
志趣	zhi4'qu4
洲际	zhou1'ji4
转送	zhuan3'song4
在心	zai4'xin1
褒贬	bao1'bian3
暴发户	bao4'fa1'hu4
北斗	bei3'dou3
笔挺	bi3'ting3
草稿	cao3'gao3
磁化	ci2'hua4
答言	da1'yan2
独木桥	du2'mu4'qiao2
夺眶而出	duo2'kuang4'er2'chu1
高压线	gao1'ya1'xian4
归顺	gui1'shun4
海狮	hai3'shi1
机身	ji1'shen1
寄养	ji4'yang3
见死不救	jian4'si3'bu4'jiu4
空灵	kong1'ling2
两厢	liang3'xiang1
硫黄	liu2'huang2
枚举	mei2'ju3
瞑目	ming2'mu4
男装	nan2'zhuang1
娘子军	niang2'zi3'jun1
敲诈勒索	qiao1'zha4'le4'suo3
桥墩	qiao2'dun1
切切	qie4'qie4
窃听	qie4'ting1
轻装	qing1'zhuang1
趣事	qu4'shi4
荣辱与共	rong2'ru3'yu3'gong4
深更半夜	shen1'geng1'ban4'ye4
声威	sheng1'wei1
尸身	shi1'shen1
实心	shi2'xin1
受用	shou4'yong4
衰变	shuai1'bian4
水患	shui3'huan4
司务	si1'wu4
俗人	su2'ren2
泰斗	tai4'dou3
蹄子	ti2'zi
天籁	tian1'lai4
挽联	wan3'lian2
王道	wang2'dao4
文档	wen2'dang4
无政府主义	wu2'zheng4'fu3'zhu3'yi4
