小鞋	xiao3'xie2
小住	xiao3'zhu4
心狠	xin1'hen3
腥臭	xing1'chou4
血亲	xue4'qin1
眼快	yan3'kuai4
洋相	yang2'xiang4
腰围	yao1'wei2
姨娘	yi2'niang2
抑止	yi4'zhi3
臆造	yi4'zao4
银鱼	yin2'yu2
影评	ying3'ping2
拥立	yong1'li4
优裕	you1'yu4
有偿新闻	you3'chang2'xin1'wen2
有人家儿	you3'ren2'jia1'er
糟践	zao1'jian4
栈桥	zhan4'qiao2
执法如山	zhi2'fa3'ru2'shan1
中饱私囊	zhong1'bao3'si1'nang2
仲春	zhong4'chun1
猪头肉	zhu1'tou2'rou4
主罚	zhu3'fa2
转子	zhuan4'zi3
总论	zong3'lun4
悲喜剧	bei1'xi3'ju4
北回归线	bei3'hui2'gui1'xian4
北极星	bei3'ji2'xing1
被服	bei4'fu2
冰柜	bing1'gui4
不惑	bu4'huo4
不虚此行	bu4'xu1'ci3'xing2
陈规陋习	chen2'gui1'lou4'xi2
称心如意	chen4'xin1'ru2'yi4
初出茅庐	chu1'chu1'mao2'lu2
初叶	chu1'ye4
绰约	chuo4'yue1
醋意	cu4'yi4
村姑	cun1'gu1
大循环	da4'xun2'huan2
地边	di4'bian1
点头哈腰	dian3'tou2'ha1'yao1
独步	du2'bu4
耳垂	er3'chui2
二房东	er4'fang2'dong1
二话	er4'hua4
翻箱倒柜	fan1'xiang1'dao3'gui4
繁体字	fan2'ti3'zi4
芳名	fang1'ming2
放射线	fang4'she4'xian4
废液	fei4'ye4
疯狗	feng1'gou3
橄榄球	gan3'lan3'qiu2
睾丸	gao1'wan2
鼓鼓囊囊	gu3'gu'nang1'nang1
挂彩	gua4'cai3
海选	hai3'xuan3
寒战;寒颤	han2'zhan4
沆瀣一气	hang4'xie4'yi1'qi4
浩繁	hao4'fan2
候机	hou4'ji1
灰心丧气	hui1'xin1'sang4'qi4
火上浇油	huo3'shang4'jiao1'you2
获罪	huo4'zui4
加冕	jia1'mian3
家传	jia1'chuan2
兼而有之	jian1'er2'you3'zhi1
嗟叹	jie1'tan4
咎由自取	jiu4'you2'zi4'qu3
军大衣	jun1'da4'yi1
靠椅	kao4'yi3
狂言	kuang2'yan2
老账	lao3'zhang4
老资格	lao3'zi1'ge2
裂口	lie4'kou3
旅行袋	lv3'xing2'dai4
摩挲	mo2'sa
煤尘	mei2'chen2
闷头儿	men1'tou2'er
密电	mi4'dian4
妙龄	miao4'ling2
名茶	ming2'cha2
摩挲	mo2'suo1
拿手好戏	na2'shou3'hao3'xi4
炮楼	pao4'lou2
皮货	pi2'huo4
泼水节	po1'shui3'jie2
切记	qie4'ji4
热心肠	re4'xin1'chang2
人高马大	ren2'gao1'ma3'da4
如此说来	ru2'ci3'shuo1'lai2
弱不禁风	ruo4'bu4'jin1'feng1
少尉	shao4'wei4
赊账	she1'zhang4
诗剧	shi1'ju4
时序	shi2'xu4
释义	shi4'yi4
双抢	shuang1'qiang3
瞬息	shun4'xi1
丝织品	si1'zhi1'pin3
死亡线	si3'wang2'xian4
贪吃	tan1'chi1
腿肚子	tui3'du4'zi
外快	wai4'kuai4
纹理	wen2'li3
侠义	xia2'yi4
下不为例	xia4'bu4'wei2'li4
下铺	xia4'pu1
纤巧	xian1'qiao3
乡野	xiang1'ye3
相邀	xiang1'yao1
箱包	xiang1'bao1
效命	xiao4'ming4
心潮起伏	xin1'chao2'qi3'fu2
欣闻	xin1'wen2
形制	xing2'zhi4
休会	xiu1'hui4
选刊	xuan3'kan1
学究	xue2'jiu1
哑然失笑	ya3'ran2'shi1'xiao4
宴饮	yan4'yin3
羊肠小道	yang2'chang2'xiao3'dao4
洋为中用	yang2'wei2'zhong1'yong4
摇船	yao2'chuan2
移动电话	yi2'dong4'dian4'hua4
移位	yi2'wei4
已往	yi3'wang3
倚仗	yi3'zhang4
异曲同工	yi4'qu3'tong2'gong1
赢家	ying2'jia1
怨愤	yuan4'fen4
灶具	zao4'ju4
炸药包	zha4'yao4'bao1
战抖	zhan4'dou3
砧子	zhen1'zi3
助战	zhu4'zhan4
转场	zhuan3'chang3
资方	zi1'fang1
自燃	zi4'ran2
白炽灯	bai2'chi4'deng1
暴风	bao4'feng1
卑下	bei1'xia4
辈分	bei4'fen
本末倒置	ben3'mo4'dao4'zhi4
逼问	bi1'wen4
笔杆子	bi3'gan3'zi
闭门造车	bi4'men2'zao4'che1
标定	biao1'ding4
补税	bu3'shui4
擦边球	ca1'bian1'qiu2
残阳	can2'yang2
草席	cao3'xi2
超车	chao1'che1
