天长地久	tian1'chang2'di4'jiu3
填词	tian2'ci2
同岁	tong2'sui4
铜丝	tong2'si1
退避三舍	tui4'bi4'san1'she4
为期不远	wei2'qi1'bu4'yuan3
乌亮	wu1'liang4
稀客	xi1'ke4
闲工夫	xian2'gong1'fu
馅儿	xian4'er2
协约国	xie2'yue1'guo2
写字间	xie3'zi4'jian1
刑事法庭	xing2'shi4'fa3'ting2
行期	xing2'qi1
行止	xing2'zhi3
削发	xue1'fa4
雪野	xue3'ye3
烟嘴儿	yan1'zui3'er
眼面前	yan3'mian4'qian2
眼药	yan3'yao4
妖冶	yao1'ye3
腰缠万贯	yao1'chan2'wan4'guan4
移花接木	yi2'hua1'jie1'mu4
意识流	yi4'shi2'liu2
英杰	ying1'jie2
映山红	ying4'shan1'hong2
邮路	you2'lu4
与世无争	yu3'shi4'wu2'zheng1
越狱	yue4'yu4
运动战	yun4'dong4'zhan4
蕴蓄	yun4'xu4
遭罪	zao1'zui4
贼人	zei2'ren2
照本宣科	zhao4'ben3'xuan1'ke1
砧木	zhen1'mu4
正步	zheng4'bu4
知心话	zhi1'xin1'hua4
重武器	zhong4'wu3'qi4
筑巢引凤	zhu4'chao2'yin3'feng4
自勉	zi4'mian3
总机	zong3'ji1
傲骨	ao4'gu3
班房	ban1'fang2
瓣儿	ban4'er2
包管	bao1'guan3
暴晒	bao4'shai4
避风港	bi4'feng1'gang3
病容	bing4'rong2
不惑之年	bu4'huo4'zhi1'nian2
草签	cao3'qian1
拆台	chai1'tai2
超长	chao1'chang2
怆然	chuang4'ran2
春华秋实	chun1'hua2'qiu1'shi2
大部头	da4'bu4'tou2
大帽子	da4'mao4'zi3
单色	dan1'se4
稻穗	dao4'sui4
癫狂	dian1'kuang2
电子琴	dian4'zi3'qin2
定级	ding4'ji2
定计	ding4'ji4
毒杀	du2'sha1
耳房	er3'fang2
法西斯主义	fa3'xi1'si1'zhu3'yi4
翻天	fan1'tian1
方剂	fang1'ji4
封装	feng1'zhuang1
肝火	gan1'huo3
高跟儿	gao1'gen1'er2
高射炮	gao1'she4'pao4
歌子	ge1'zi3
格式化	ge2'shi'hua4
梗死	geng3'si3
弓弦	gong1'xian2
公议	gong1'yi4
观音菩萨	guan1'yin1'pu2'sa4
光膀子	guang1'bang3'zi
规约	gui1'yue1
桂圆	gui4'yuan2
汉堡包	han4'bao3'bao1
号叫	hao2'jiao4
鹤立鸡群	he4'li4'ji1'qun2
哄传	hong1'chuan2
护坡	hu4'po1
话里有话	hua4'li3'you3'hua4
环生	huan2'sheng1
会标	hui4'biao1
击水	ji1'shui3
机头	ji1'tou2
疾速	ji2'su4
计酬	ji4'chou2
假名	jia3'ming2
假日经济	jia4'ri4'jing1'ji4
鉴赏力	jian4'shang3'li4
交学费	jiao1'xue2'fei4
叫驴	jiao4'lv2
惊弓之鸟	jing1'gong1'zhi1'niao3
竞渡	jing4'du4
军火库	jun1'huo3'ku4
揩油	kai1'you2
可怜虫	ke3'lian2'chong2
可欺	ke3'qi1
坑洼	keng1'wa1
空余	kong4'yu2
