光身	guang1'shen1
归巢	gui1'chao2
果茶	guo3'cha2
毫厘	hao2'li2
合金钢	he2'jin1'gang1
和悦	he2'yue4
核辐射	he2'fu2'she4
黑麦	hei1'mai4
横遭	heng2'zao1
红帽子	hong2'mao4'zi
红血球	hong2'xue4'qiu2
厚颜无耻	hou4'yan2'wu2'chi3
呼气	hu1'qi4
换季	huan4'ji4
晃眼	huang3'yan3
祸水	huo4'shui3
机宜	ji1'yi2
稼穑	jia4'se4
交响诗	jiao1'xiang3'shi1
缴枪	jiao3'qiang1
接线员	jie1'xian4'yuan2
洁癖	jie2'pi3
金店	jin1'dian4
军龄	jun1'ling2
课程表	ke4'cheng2'biao3
窥破	kui1'po4
拉赞助	la1'zan4'zhu4
老年病	lao3'nian2'bing4
立冬	li4'dong1
廉明	lian2'ming2
凉菜	liang2'cai4
凉飕飕	liang2'sou1'sou1
梁柱	liang2'zhu4
落潮	luo4'chao2
落聘	luo4'pin4
落汤鸡	luo4'tang1'ji1
麻药	ma2'yao4
麦垛	mai4'duo3
莽汉	mang3'han4
昧心	mei4'xin1
免冠	mian3'guan1
面议	mian4'yi4
摹写	mo2'xie3
闹嚷嚷	nao4'rang1'rang1
泥菩萨	ni2'pu2'sa4
拟作	ni3'zuo4
牛毛	niu2'mao2
跑龙套	pao3'long2'tao4
披肩发	pi1'jian1'fa1
偏安	pian1'an1
偏移	pian1'yi2
