热毒	re4'du2
人头税	ren2'tou2'shui4
日工	ri4'gong1
乳剂	ru3'ji4
入邪	ru4'xie2
褥套	ru4'tao4
撒欢儿	sa1'huan1'er
三原色	san1'yuan2'se4
丧志	sang4'zhi4
臊气	sao4'qi4
色厉内荏	se4'li4'nei4'ren3
煞车	sha1'che1
山毛榉	shan1'mao2'ju3
删定	shan1'ding4
伤痕文学	shang1'hen2'wen2'xue2
筲箕	shao1'ji1
深幽	shen1'you1
哂笑	shen3'xiao4
升班	sheng1'ban1
生死未卜	sheng1'si3'wei4'bu3
生态科学	sheng1'tai4'ke1'xue2
声母	sheng1'mu3
失序	shi1'xu4
施粉	shi1'fen3
试读	shi4'du2
舒爽	shu1'shuang3
耍把戏	shua3'ba3'xi4
双重人格	shuang1'chong2'ren2'ge2
霜叶	shuang1'ye4
水晶石	shui3'jing1'shi2
水涝	shui3'lao4
水暖工	shui3'nuan3'gong1
水疱	shui3'pao4
水纹	shui3'wen2
水葬	shui3'zang4
顺服	shun4'fu2
思考题	si1'kao3'ti2
死棋	si3'qi2
死钱	si3'qian2
四近	si4'jin4
送呈	song4'cheng2
酸胀	suan1'zhang4
贪求	tan1'qiu2
逃席	tao2'xi2
套袖	tao4'xiu4
特遣部队	te4'qian3'bu4'dui4
提词	ti2'ci2
提手	ti2'shou3
恬适	tian2'shi4
调级	tiao2'ji2
调弄	tiao2'nong4
童女	tong2'nv3
童山	tong2'shan1
头油	tou2'you2
推见	tui1'jian4
托身	tuo1'shen1
婉劝	wan3'quan4
万户侯	wan4'hu4'hou2
万事亨通	wan4'shi4'heng1'tong1
万事俱备，只欠东风	wan4'shi4'ju4'bei4'zhi3'qian4'dong1'feng1
万死不辞	wan4'si3'bu4'ci2
王水	wang2'shui3
萎黄	wei3'huang2
卫道士	wei4'dao4'shi4
文化沙漠	wen2'hua4'sha1'mo4
文员	wen2'yuan2
无所措手足	wu2'suo3'cuo4'shou3'zu2
无烟工业	wu2'yan1'gong1'ye4
无以为报	wu2'yi3'wei2'bao4
狎昵	xia2'ni4
下塌	xia4'ta1
贤哲	xian2'zhe2
县界	xian4'jie4
陷身	xian4'shen1
乡邮	xiang1'you2
详解	xiang2'jie3
