烟子	yan1'zi
孤高	gu1'gao1
鬼迷心窍	gui3'mi2'xin1'qiao4
鬼祟	gui3'sui4
过街天桥	guo4'jie1'tian1'qiao2
过速	guo4'su4
含恨	han2'hen4
寒来暑往	han2'lai2'shu3'wang3
寒食	han2'shi2
汉剧	han4'ju4
悍将	han4'jiang1
豪壮	hao2'zhuang4
划得来	hua2'de'lai2
滑稽剧	hua2'ji1'ju4
环行	huan2'xing2
回礼	hui2'li3
火箭筒	huo3'jian4'tong3
火烫	huo3'tang4
鸡眼	ji1'yan3
尖酸刻薄	jian1'suan1'ke4'bo2
坚果	jian1'guo3
缄口	jian1'kou3
讲价	jiang3'jia4
狡计	jiao3'ji4
节哀	jie2'ai1
桀纣	jie2'zhou4
金屋藏娇	jin1'wu1'cang2'jiao1
锦囊妙计	jin3'nang2'miao4'ji4
近水楼台	jin4'shui3'lou2'tai2
浸没	jin4'mo4
经传	jing1'zhuan4
井然	jing3'ran2
镜台	jing4'tai2
救火车	jiu4'huo3'che1
居功	ju1'gong1
军制	jun1'zhi4
均分	jun1'fen1
峻峭	jun4'qiao4
开审	kai1'shen3
开天窗	kai1'tian1'chuang1
可怖	ke3'bu4
克勤克俭	ke4'qin2'ke4'jian3
刻刀	ke4'dao1
宽限	kuan1'xian4
拉锁	la1'suo3
老爷车	lao3'ye2'che1
乐融融	le4'rong2'rong2
雷霆万钧	lei2'ting2'wan4'jun1
冷飕飕	leng3'sou1'sou1
离乱	li2'luan4
离乡背井	li2'xiang1'bei4'jing3
烈度	lie4'du4
猎鹰	lie4'ying1
灵床	ling2'chuang2
留余地	liu2'yu2'di4
绿藻	lv4'zao3
麻糖	ma2'tang2
码放	ma3'fang4
冒头	mao4'tou2
闷酒	men4'jiu3
蒙文	meng2'wen2
明细表	ming2'xi4'biao3
谋算	mou2'suan4
闹饥荒	nao4'ji1'huang1
欧化	ou1'hua4
偶数	ou3'shu4
派送	pai4'song4
配殿	pei4'dian4
捧杯	peng3'bei1
疲弱	pi2'ruo4
片言只语	pian4'yan2'zhi1'yu3
贫病交加	pin2'bing4'jiao1'jia1
频传	pin2'chuan2
品酒	pin3'jiu3
七窍生烟	qi1'qiao4'sheng1'yan1
萋萋	qi1'qi1
齐奏	qi2'zou4
奇谈	qi2'tan2
启行;起行	qi3'xing2
起拍	qi3'pai1
千娇百媚	qian1'jiao1'bai3'mei4
强固	qiang2'gu4
强横	qiang2'heng4
强心针	qiang2'xin1'zhen1
墙围	qiang2'wei2
愀然	qiao3'ran2
青葱	qing1'cong1
清还	qing1'huan2
情窦初开	qing2'dou4'chu1'kai1
穷愁	qiong2'chou2
求偶	qiu2'ou3
曲线美	qu1'xian4'mei3
全职	quan2'zhi2
认捐	ren4'juan1
荣升	rong2'sheng1
撒拉族	sa1'la1'zu2
三点式	san1'dian3'shi4
三六九等	san1'liu4'jiu3'deng3
散光	san3'guang1
散座	san3'zuo4
色差	se4'cha1
杀鸡取卵	sha1'ji1'qu3'luan3
沙文主义	sha1'wen2'zhu3'yi4
纱灯	sha1'deng1
纱线	sha1'xian4
禅让	shan4'rang4
上光	shang4'guang1
上情	shang4'qing2
蛇行	she2'xing2
舍本逐末	she3'ben3'zhu2'mo4
射流	she4'liu2
身价百倍	shen1'jia4'bai3'bei4
声控	sheng1'kong4
收手	shou1'shou3
守墓	shou3'mu4
叔嫂	shu1'sao3
数典忘祖	shu3'dian3'wang4'zu3
数九寒天	shu3'jiu3'han2'tian1
双月刊	shuang1'yue4'kan1
水轮机	shui3'lun2'ji1
睡裙	shui4'qun2
说不来	shuo1'bu'lai2
丝光	si1'guang1
私怨	si1'yuan4
死心眼儿	si3'xin1'yan3'er
酥脆	su1'cui4
夙夜	su4'ye4
拓印	tuo4'yin4
太极剑	tai4'ji2'jian4
糖衣	tang2'yi1
套车	tao4'che1
天网恢恢	tian1'wang3'hui1'hui1
条分缕析	tiao2'fen1'lv3'xi1
调护	tiao2'hu4
听而不闻	ting1'er2'bu4'wen2
通存通兑	tong1'cun2'tong1'dui4
头疼脑热	tou2'teng2'nao3're4
托梦	tuo1'meng4
外路	wai4'lu4
外强中干	wai4'qiang2'zhong1'gan1
往时	wang3'shi2
威胁性	wei1'xie2'xing4
尾灯	wei3'deng1
委任状	wei3'ren4'zhuang4
温驯	wen1'xun4
嬉笑怒骂	xi1'xiao4'nu4'ma4
习字	xi2'zi4
洗手不干	xi3'shou3'bu4'gan4
洗碗机	xi3'wan3'ji1
戏评	xi4'ping2
下款	xia4'kuan3
小九九	xiao3'jiu3'jiu3
小卧车	xiao3'wo4'che1
邪门儿	xie2'men2'er
谐趣	xie2'qu4
心重	xin1'zhong4
羞赧	xiu1'nan3
虚词	xu1'ci2
虚夸	xu1'kua1
叙功	xu4'gong1
殉道	xun4'dao4
嫣然	yan1'ran2
眼风	yan3'feng1
眼明手快	yan3'ming2'shou3'kuai4
一定之规	yi1'ding4'zhi1'gui1
一团漆黑	yi1'tuan2'qi1'hei1
一席谈	yi1'xi2'tan2
以毒攻毒	yi3'du2'gong1'du2
以儆效尤	yi3'jing3'xiao4'you2
异教	yi4'jiao1
异型	yi4'xing2
阴私	yin1'si1
银燕	yin2'yan4
