称兄道弟	cheng1'xiong1'dao4'di4
成法	cheng2'fa3
秤砣	cheng4'tuo2
愁思	chou2'si1
出航	chu1'hang2
捶胸顿足	chui2'xiong1'dun4'zu2
磁极	ci2'ji2
存粮	cun2'liang2
打哈欠	da3'ha1'qian
大灶	da4'zao4
挡驾	dang3'jia4
嘀嗒	di1'da
电耗	dian4'hao4
调度员	diao4'du4'yuan2
发大水	fa1'da4'shui3
放大器	fang4'da4'qi4
飞渡	fei1'du4
飞临	fei1'lin2
废人	fei4'ren2
分秒	fen1'miao3
焚掠	fen2'lve4
蜂拥而上	feng1'yong1'er2'shang4
缝子	feng4'zi
附会	fu4'hui4
改色	gai3'se4
构陷	gou4'xian4
关涉	guan1'she4
罐车	guan4'che1
广种薄收	guang3'zhong4'bo2'shou1
过惯	guo4'guan4
航测	hang2'ce4
号兵	hao4'bing1
花鼓戏	hua1'gu3'xi4
花花世界	hua1'hua1'shi4'jie4
画蛇添足	hua4'she2'tian1'zu2
还价	huan2'jia4
荒村	huang1'cun1
假想敌	jia3'xiang3'di2
胶带	jiao1'dai4
绞车	jiao3'che1
叫板	jiao4'ban3
揭竿而起	jie1'gan1'er2'qi3
仅此	jin3'ci3
紧巴巴	jin3'ba1'ba1
粳稻	jing1'dao4
眷念	juan4'nian4
勘定	kan1'ding4
垦殖	ken3'zhi2
吭哧	keng1'chi
狂舞	kuang2'wu3
来者不拒	lai2'zhe3'bu4'ju4
蓝藻	lan2'zao3
老糊涂	lao3'hu2'tu
愣是	leng4'shi4
连阴雨	lian2'yin1'yu3
律令	lv4'ling4
绿宝石	lv4'bao3'shi2
马靴	ma3'xue1
美餐	mei3'can1
美人计	mei3'ren2'ji4
迷魂阵	mi2'hun2'zhen4
绵薄	mian2'bo2
明察秋毫	ming2'cha2'qiu1'hao2
奶娘	nai3'niang2
脑袋瓜儿	nao3'dai4'gua1'er
内贸	nei4'mao4
叛贼	pan4'zei2
喷薄	pen1'bo2
棚圈	peng2'juan4
片头	pian4'tou2
气鼓鼓	qi4'gu3'gu3
浅谈	qian3'tan2
枪栓	qiang1'shuan1
强撑	qiang2'cheng1
强硬派	qiang2'ying4'pai4
青豆	qing1'dou4
人墙	ren2'qiang2
锐不可当	rui4'bu4'ke3'dang1
扫地出门	sao3'di4'chu1'men2
森然	sen1'ran2
生长素	sheng1'zhang3'su4
盛年	sheng4'nian2
失敬	shi1'jing4
师法	shi1'fa3
师兄弟	shi1'xiong1'di
石笋	shi2'sun3
石英钟	shi2'ying1'zhong1
收摊儿	shou1'tan1'er
受潮	shou4'chao2
受窘	shou4'jiong3
授衔	shou4'xian2
书生气	shu1'sheng1'qi4
书证	shu1'zheng4
蒜苗	suan4'miao2
探秘	tan4'mi4
剃须刀	ti4'xu1'dao1
挑眼	tiao1'yan3
条陈	tiao2'chen2
头功	tou2'gong1
突遇	tu1'yu4
推拿	tui1'na2
驼绒	tuo2'rong2
瓦匠	wa3'jiang
网卡	wang3'ka3
微贱	wei1'jian4
五一节	wu3'yi1'jie2
西历	xi1'li4
习见	xi2'jian4
席面	xi2'mian4
喜结良缘	xi3'jie2'liang2'yuan2
夏布	xia4'bu4
闲饭	xian2'fan4
贤才	xian2'cai2
萧索	xiao1'suo3
小葱	xiao3'cong1
心慈	xin1'ci2
新约	xin1'yue1
信札	xin4'zha2
修脚	xiu1'jiao3
虚浮	xu1'fu2
熏蒸	xun1'zheng1
眼睫毛	yan3'jie2'mao2
洋油	yang2'you2
野趣	ye3'qu4
一览表	yi1'lan3'biao3
仪容	yi2'rong2
以礼相待	yi3'li3'xiang1'dai4
用费	yong4'fei4
