板书	ban3'shu1
帮厨	bang1'chu2
保命	bao3'ming4
抱养	bao4'yang3
比量	bi3'liang
笔意	bi3'yi4
币制	bi4'zhi4
贬抑	bian3'yi4
变速器	bian4'su4'qi4
表功	biao3'gong1
脖领儿	bo2'ling3'er
补缀	bu3'zhui4
才略	cai2'lve4
裁缝	cai2'feng2
踩高跷	cai3'gao1'qiao1
仓容	cang1'rong2
操刀	cao1'dao1
差池	cha1'chi2
肠衣	chang2'yi1
炒饭	chao3'fan4
尘嚣	chen2'xiao1
陈世美	chen2'shi4'mei3
称许	cheng1'xu3
吃得消	chi1'de'xiao1
吃喝风	chi1'he1'feng1
冲凉	chong1'liang2
出缺	chu1'que1
闯劲	chuang3'jin4
吹喇叭	chui1'la3'ba
存根	cun2'gen1
大率	da4'shuai4
大智若愚	da4'zhi4'ruo4'yu2
代步	dai4'bu4
倒爷	dao3'ye2
道袍	dao4'pao2
地久天长	di4'jiu3'tian1'chang2
电弧	dian4'hu2
掉价	diao4'jia4
冬月	dong1'yue4
肚量	du4'liang4
多舛	duo1'chuan3
恶仗	e4'zhang4
发懵	fa1'meng3
反转	fan3'zhuan4
房费	fang2'fei4
匪帮	fei3'bang1
妇道人家	fu4'dao4'ren2'jia1
附加税	fu4'jia1'shui4
附庸风雅	fu4'yong1'feng1'ya3
赴死	fu4'si3
工房	gong1'fang2
工蚁	gong1'yi3
公断	gong1'duan4
灌装	guan4'zhuang1
归公	gui1'gong1
过河拆桥	guo4'he2'chai1'qiao2
过手	guo4'shou3
寒星	han2'xing1
浩渺	hao4'miao3
合称	he2'cheng1
合订本	he2'ding4'ben3
