懒怠	lan3'dai4
亮底	liang4'di3
了账	liao3'zhang4
路考	lu4'kao3
落地扇	luo4'di4'shan4
马屁精	ma3'pi4'jing1
马尾辫	ma3'wei3'bian4
骂架	ma4'jia4
买醉	mai3'zui4
鸣谢	ming2'xie4
泥子;腻子	ni4'zi
盘账	pan2'zhang4
盆浴	pen2'yu4
秋后算账	qiu1'hou4'suan4'zhang4
十进制	shi2'jin4'zhi4
条条杠杠	tiao2'tiao2'gang4'gang
团粉	tuan2'fen3
玩儿不转	wan2'er'bu'zhuan4
下三烂;下三滥	xia4'san1'lan4
销账	xiao1'zhang4
晕血	yun4'xue4
不容置喙	bu4'rong2'zhi4'hui4
步测	bu4'ce4
产褥期	chan3'ru4'qi1
长筒靴	chang2'tong3'xue1
扯后腿	che3'hou4'tui3
词类	ci2'lei4
多义词	duo1'yi4'ci2
盖浇饭	gai4'jiao1'fan4
管儿灯	guan3'er2'deng1
汗脚	han4'jiao3
猴儿急	hou2'er2'ji2
借代	jie4'dai4
精子库	jing1'zi3'ku4
焗油	ju2'you2
均价	jun1'jia4
龙行虎步	long2'xing2'hu3'bu4
路规	lu4'gui1
罗圈儿腿	luo2'quan1'er2'tui3
盲打	mang2'da3
盘秤	pan2'cheng4
软尺	ruan3'chi3
上色	shang4'se4
市升	shi4'sheng1
弹簧秤	tan2'huang2'cheng4
唯一;惟一	wei2'yi1
羊角风	yang2'jiao3'feng1
样稿	yang4'gao3
优盘	you1'pan2
遮阳镜	zhe1'yang2'jing4
当头	dang4'tou
当夜	dang4'ye4
悼唁	dao4'yan4
咕嘟	gu1'du
婚外孕	hun1'wai4'yun4
节育环	jie2'yu4'huan2
介词	jie4'ci2
紧衣缩食	jin3'yi1'suo1'shi2
酒刺	jiu3'ci4
开心丸	kai1'xin1'wan2
瞭望	liao4'wang4
烈性子	lie4'xing4'zi3
零杂工	ling2'za2'gong1
领罪	ling3'zui4
拢总	long3'zong3
喽啰	lou2'luo
落市	luo4'shi4
闷气	men4'qi
闽方言	min3'fang1'yan2
拟声词	ni3'sheng1'ci2
平月	ping2'yue4
迫降	po4'xiang2
司马昭之心，路人皆知	si1'ma3'zhao1'zhi1'xin1'lu4'ren2'jie1'zhi1
湘方言	xiang1'fang1'yan2
血晕	xie3'yun4
鹬蚌相争，渔翁得利	yu4'bang4'xiang1'zheng1'yu2'weng1'de2'li4
晕针	yun4'zhen1
正方体	zheng4'fang1'ti3
