橡皮膏	xiang4'pi2'gao1
小巴	xiao3'ba1
小小子	xiao3'xiao3'zi3
校史	xiao4'shi3
歇工	xie1'gong1
歇腿	xie1'tui3
邪魔	xie2'mo2
心定	xin1'ding4
心硬	xin1'ying4
星相	xing1'xiang4
行李架	xing2'li'jia4
形骸	xing2'hai2
凶煞	xiong1'sha4
虚与委蛇	xu1'yu3'wei1'yi2
蓄势	xu4'shi4
选点	xuan3'dian3
选曲	xuan3'qu3
雪莲花	xue3'lian2'hua1
哑巴亏	ya3'ba'kui1
哑炮	ya3'pao4
哑嗓	ya3'sang3
烟柱	yan1'zhu4
炎凉	yan2'liang2
妖术	yao1'shu4
摇把	yao2'ba3
野种	ye3'zhong3
一锤子买卖	yi1'chui2'zi3'mai3'mai4
以德报怨	yi3'de2'bao4'yuan4
以邻为壑	yi3'lin2'wei2'he4
以怨报德	yi3'yuan4'bao4'de2
异端邪说	yi4'duan1'xie2'shuo1
异体字	yi4'ti3'zi4
译制	yi4'zhi4
因人制宜	yin1'ren2'zhi4'yi2
音带	yin1'dai4
英雄气短	ying1'xiong2'qi4'duan3
硬面	ying4'mian4
油泵	you2'beng4
游学	you2'xue2
诱奸	you4'jian1
鱼子	yu2'zi3
虞美人	yu2'mei3'ren2
育婴堂	yu4'ying1'tang2
预行	yu4'xing2
预置	yu4'zhi4
原始林	yuan2'shi3'lin2
运球	yun4'qiu2
泽国	ze2'guo2
贼寇	zei2'kou4
找齐	zhao3'qi2
遮阳帽	zhe1'yang2'mao4
吱吱嘎嘎	zhi1'zhi1'ga1'ga1
执鞭	zhi2'bian1
直击	zhi2'ji1
指不定	zhi3'bu'ding4
指法	zhi3'fa3
制件	zhi4'jian4
中端	zhong1'duan1
中音	zhong1'yin1
衷情	zhong1'qing2
重灾	zhong4'zai1
诛杀	zhu1'sha1
猪排	zhu1'pai2
主调	zhu3'diao4
转生	zhuan3'sheng1
装疯卖傻	zhuang1'feng1'mai4'sha3
擢升	zhuo2'sheng1
锱铢必较	zi1'zhu1'bi4'jiao4
自留山	zi4'liu2'shan1
嘴笨	zui3'ben4
坐禅	zuo4'chan2
碍手碍脚	ai4'shou3'ai4'jiao3
八月节	ba1'yue4'jie2
白班	bai2'ban1
白粉病	bai2'fen3'bing4
百儿八十	bai3'er'ba1'shi2
半自动	ban4'zi4'dong4
包养	bao1'yang3
饱眼福	bao3'yan3'fu2
背黑锅	bei1'hei1'guo1
悲凄	bei1'qi1
悲酸	bei1'suan1
边角料	bian1'jiao3'liao4
编年体	bian1'nian2'ti3
病案	bing4'an4
补报	bu3'bao4
不知所终	bu4'zhi1'suo3'zhong1
彩练	cai3'lian4
踩点	cai3'dian3
菜豆	cai4'dou4
参酌	can1'zhuo2
沧海一粟	cang1'hai3'yi1'su4
草泽	cao3'ze2
侧目而视	ce4'mu4'er2'shi4
长蛇阵	chang2'she2'zhen4
敞篷车	chang3'peng2'che1
衬里	chen4'li3
吃相	chi1'xiang4
崇仰	chong2'yang3
丑态百出	chou3'tai4'bai3'chu1
臭架子	chou4'jia4'zi3
川资	chuan1'zi1
传抄	chuan2'chao1
船帆	chuan2'fan1
船期	chuan2'qi1
戳子	chuo1'zi3
促狭	cu4'xia2
村野	cun1'ye3
存车	cun2'che1
存款单	cun2'kuan3'dan1
搭伴	da1'ban4
打比方	da3'bi3'fang1
打蔫儿	da3'nian1'er
打前站	da3'qian2'zhan4
打援	da3'yuan2
大殓	da4'lian4
大拇哥	da4'mu3'ge1
大拿	da4'na2
丹方	dan1'fang1
单弦儿	dan1'xian2'er
倒算	dao4'suan4
等而下之	deng3'er2'xia4'zhi1
等外	deng3'wai4
涤卡	di2'ka3
吊死鬼	diao4'si3'gui3
冬菜	dong1'cai4
钝化	dun4'hua4
二进制	er4'jin4'zhi4
翻云覆雨	fan1'yun2'fu4'yu3
反躬自问	fan3'gong1'zi4'wen4
反咬一口	fan3'yao3'yi1'kou3
防暑	fang2'shu3
放达	fang4'da2
放送	fang4'song4
麸皮	fu1'pi2
干亲	gan1'qin1
赣剧	gan4'ju4
高人	gao1'ren2
疙瘩汤	ge1'da'tang1
割除	ge1'chu2
功成身退	gong1'cheng2'shen1'tui4
拱顶	gong3'ding3
沟子	gou1'zi3
谷氨酸	gu3'an1'suan1
怪里怪气	guai4'li3'guai4'qi4
管片	guan3'pian4
灌肠	guan4'chang2
诡称	gui3'cheng1
国仇	guo2'chou2
过载	guo4'zai4
海寇	hai3'kou4
海枯石烂	hai3'ku1'shi2'lan4
旱井	han4'jing3
浩浩	hao4'hao4
黑天	hei1'tian1
横标	heng2'biao1
后襟	hou4'jin1
后梁	hou4'liang2
后唐	hou4'tang2
画屏	hua4'ping2
缓征	huan3'zheng1
幻术	huan4'shu4
挥戈	hui1'ge1
回门	hui2'men2
毁弃	hui3'qi4
积久	ji1'jiu3
急步	ji2'bu4
夹峙	jia1'zhi4
奸情	jian1'qing2
间接选举	jian4'jie1'xuan3'ju3
