锋芒	feng1'mang2
附则	fu4'ze2
工头	gong1'tou2
共处	gong4'chu3
篝火	gou1'huo3
欢心	huan1'xin1
夹击	jia1'ji1
军代表	jun1'dai4'biao3
开户	kai1'hu4
开门见山	kai1'men2'jian4'shan1
留校	liu2'xiao4
落脚	luo4'jiao3
挪动	nuo2'dong4
欠佳	qian4'jia1
曲调	qu3'diao4
肾脏	shen4'zang4
顺理成章	shun4'li3'cheng2'zhang1
思量	si1'liang
稳重	wen3'zhong4
戏称	xi4'cheng1
学生会	xue2'sheng1'hui4
一应俱全	yi1'ying1'ju4'quan2
应允	ying1'yun3
寓所	yu4'suo3
主干线	zhu3'gan4'xian4
转折点	zhuan3'zhe2'dian3
子夜	zi3'ye4
半生	ban4'sheng1
富饶	fu4'rao2
姑且	gu1'qie3
皇子	huang2'zi3
交手	jiao1'shou3
两性	liang3'xing4
年关	nian2'guan1
铺轨	pu1'gui3
沙哑	sha1'ya3
神经病	shen2'jing1'bing4
生来	sheng1'lai2
通货紧缩	tong1'huo4'jin3'suo1
汪洋	wang1'yang2
围坐	wei2'zuo4
五保户	wu3'bao3'hu4
稀有	xi1'you3
心田	xin1'tian2
嗅觉	xiu4'jue2
烟头	yan1'tou2
一无所有	yi1'wu2'suo3'you3
衣裤	yi1'ku4
勇猛	yong3'meng3
哲人	zhe2'ren2
自述	zi4'shu4
自以为是	zi4'yi3'wei2'shi4
尊贵	zun1'gui4
拜会	bai4'hui4
不仁	bu4'ren2
怠慢	dai4'man4
法网	fa3'wang3
妨害	fang2'hai4
更新换代	geng1'xin1'huan4'dai4
好客	hao4'ke4
厚道	hou4'dao4
还击	huan2'ji1
荒野	huang1'ye3
讥笑	ji1'xiao4
家当	jia1'dang4
简历	jian3'li4
交换机	jiao1'huan4'ji1
宽恕	kuan1'shu4
慢吞吞	man4'tun1'tun1
磨砺	mo2'li4
怒吼	nu4'hou3
破格	po4'ge2
扑克	pu1'ke4
色素	se4'su4
升迁	sheng1'qian1
生灵	sheng1'ling2
师兄	shi1'xiong1
石雕	shi2'diao1
水运	shui3'yun4
啼哭	ti2'ku1
围栏	wei2'lan2
斜坡	xie2'po1
心平气和	xin1'ping2'qi4'he2
行将	xing2'jiang1
翌日	yi4'ri4
元件	yuan2'jian4
远道	yuan3'dao4
作态	zuo4'tai4
做作	zuo4'zuo
拔尖	ba2'jian1
百家争鸣	bai3'jia1'zheng1'ming2
办报	ban4'bao4
辩护人	bian4'hu4'ren2
乘船	cheng2'chuan2
次子	ci4'zi3
大小姐	da4'xiao3'jie3
定格	ding4'ge2
短促	duan3'cu4
反顾	fan3'gu4
海军陆战队	hai3'jun1'lu4'zhan4'dui4
和约	he2'yue1
