缺勤	que1'qin2
言之有据	yan2'zhi1'you3'ju4
盐商	yan2'shang1
偃武修文	yan3'wu3'xiu1'wen2
一鳞半爪	yi1'lin2'ban4'zhao3
遗业	yi2'ye4
义学	yi4'xue2
引而不发	yin3'er2'bu4'fa1
引火线	yin3'huo3'xian4
印子钱	yin4'zi'qian2
优选法	you1'xuan3'fa3
有日子	you3'ri4'zi
迂阔	yu1'kuo4
渔人之利	yu2'ren2'zhi1'li4
愚拙	yu2'zhuo1
原子钟	yuan2'zi3'zhong1
圆白菜	yuan2'bai2'cai4
匀整	yun2'zheng3
摘译	zhai1'yi4
战列舰	zhan4'lie4'jian4
仗义疏财	zhang4'yi4'shu1'cai2
肇祸	zhao4'huo4
执牛耳	zhi2'niu2'er3
指骨	zhi3'gu3
制热	zhi4're4
置之脑后	zhi4'zhi1'nao3'hou4
中缝	zhong1'feng4
中晚期	zhong1'wan3'qi1
终老	zhong1'lao3
肘关节	zhou3'guan1'jie2
竹帛	zhu2'bo2
竹制品	zhu2'zhi4'pin3
助理研究员	zhu4'li3'yan2'jiu1'yuan2
篆刻家	zhuan4'ke4'jia1
籽粒	zi3'li4
卒年	zu2'nian2
钻塔	zuan4'ta3
尊奉	zun1'feng4
阿飞	a1'fei1
鞍马劳顿	an1'ma3'lao2'dun4
