零蛋	ling2'dan4
炉门	lu2'men2
路卡	lu4'ka3
露酒	lu4'jiu3
落点	luo4'dian3
落落寡合	luo4'luo4'gua3'he2
马槽	ma3'cao2
卖官鬻爵	mai4'guan1'yu4'jue2
妹婿	mei4'xu4
门钉	men2'ding1
米粮川	mi3'liang2'chuan1
靡靡之音	mi3'mi3'zhi1'yin1
秘传	mi4'chuan2
免战牌	mian3'zhan4'pai2
面巾纸	mian4'jin1'zhi3
面砖	mian4'zhuan1
明枪暗箭	ming2'qiang1'an4'jian4
鸣禽	ming2'qin2
莫可名状	mo4'ke3'ming2'zhuang4
漠不相关	mo4'bu4'xiang1'guan1
募化	mu4'hua4
难字	nan2'zi4
嫩滑	nen4'hua2
溺婴	ni4'ying1
尿血	niao4'xie3
牛刀小试	niu2'dao1'xiao3'shi4
纽子	niu3'zi3
女能人	nv3'neng2'ren2
拍花	pai1'hua1
排子车	pai3'zi'che1
抛离	pao1'li2
赔小心	pei2'xiao3'xin1
喷射器	pen1'she4'qi4
批点	pi1'dian3
皮试	pi2'shi4
品红	pin3'hong2
评功摆好	ping2'gong1'bai3'hao3
评判员	ping2'pan4'yuan2
起点站	qi3'dian3'zhan4
气泵	qi4'beng4
弃甲曳兵	qi4'jia3'ye4'bing1
谦词	qian1'ci2
前仇	qian2'chou2
潜水泵	qian2'shui3'beng4
黔剧	qian2'ju4
羌笛	qiang1'di2
强梁	qiang2'liang2
墙裙	qiang2'qun2
抢墒	qiang3'shang1
桥桩	qiao2'zhuang1
翘企	qiao2'qi3
青杨	qing1'yang2
清炒	qing1'chao3
穷年累月	qiong2'nian2'lei3'yue4
穹庐	qiong2'lu2
求售	qiu2'shou4
黢黑	qu1'hei1
去火	qu4'huo3
圈阅	quan1'yue4
缺漏	que1'lou4
惹火烧身	re3'huo3'shao1'shen1
人丹	ren2'dan1
肉末儿	rou4'mo4'er2
散工	san3'gong1
馓子	san3'zi3
散工	san4'gong1
丧家犬	sang1'jia1'quan3
僧帽	seng1'mao4
砂眼	sha1'yan3
膻味	shan1'wei4
膳费	shan4'fei4
上颚	shang4'e4
上粪	shang4'fen4
韶光	shao2'guang1
少年先锋队	shao4'nian2'xian1'feng1'dui4
设或	she4'huo4
生恐	sheng1'kong3
生拉硬拽	sheng1'la1'ying4'zhuai4
声符	sheng1'fu2
失盗	shi1'dao4
失脚	shi1'jiao3
石舫	shi2'fang3
石炭酸	shi2'tan4'suan1
实词	shi2'ci2
拾人牙慧	shi2'ren2'ya2'hui4
食蚁兽	shi2'yi3'shou4
试播	shi4'bo1
受胎	shou4'tai1
熟菜	shu2'cai4
水曲柳	shui3'qu3'liu3
顺情	shun4'qing2
死面	si3'mian4
抬爱	tai2'ai4
太平鼓	tai4'ping2'gu3
弹簧锁	tan2'huang2'suo3
檀香扇	tan2'xiang1'shan4
坦直	tan3'zhi2
汤池	tang1'chi2
塘泥	tang2'ni2
塘堰	tang2'yan4
讨账	tao3'zhang4
特型演员	te4'xing2'yan3'yuan2
誊录	teng2'lu4
啼饥号寒	ti2'ji1'hao2'han2
替班	ti4'ban1
甜橙	tian2'cheng2
甜面酱	tian2'mian4'jiang4
贴标签	tie1'biao1'qian1
铁蒺藜	tie3'ji2'li2
铁腕人物	tie3'wan4'ren2'wu4
童蒙	tong2'meng2
图典	tu2'dian3
团代会	tuan2'dai4'hui4
歪七扭八	wai1'qi1'niu3'ba1
网络警察	wang3'luo4'jing3'cha2
威信扫地	wei1'xin4'sao3'di4
围嘴儿	wei2'zui3'er
维吾尔文	wei2'wu2'er3'wen2
文卷	wen2'juan3
纹身	wen2'shen1
问难	wen4'nan4
卧佛	wo4'fo2
屋架	wu1'jia4
无功受禄	wu2'gong1'shou4'lu4
五十步笑百步	wu3'shi2'bu4'xiao4'bai3'bu4
误期	wu4'qi1
西部片	xi1'bu4'pian4
西晒	xi1'shai4
稀溜溜	xi1'liu1'liu1
习好	xi2'hao4
喜钱	xi3'qian
喜丧	xi3'sang1
戏服	xi4'fu2
瞎聊	xia1'liao2
瞎说八道	xia1'shuo1'ba1'dao4
侠肝义胆	xia2'gan1'yi4'dan3
闲职	xian2'zhi2
显豁	xian3'huo4
线呢	xian4'ni2
相反相成	xiang1'fan3'xiang1'cheng2
香云纱	xiang1'yun2'sha1
消音器	xiao1'yin1'qi4
小仓库	xiao3'cang1'ku4
小市	xiao3'shi4
谐剧	xie2'ju4
谢仪	xie4'yi2
心口如一	xin1'kou3'ru2'yi1
新历	xin1'li4
芯子	xin4'zi
腥臊	xing1'sao1
行诈	xing2'zha4
形胜	xing2'sheng4
形影相随	xing2'ying3'xiang1'sui2
凶蛮	xiong1'man2
凶年	xiong1'nian2
兄弟阋墙	xiong1'di4'xi4'qiang2
胸椎	xiong1'zhui1
熊包	xiong2'bao1
休刊	xiu1'kan1
虚数	xu1'shu4
虚有其表	xu1'you3'qi2'biao3
悬梯	xuan2'ti1
悬心	xuan2'xin1
选发	xuan3'fa1
选载	xuan3'zai4
学衔	xue2'xian2
醺然	xun1'ran2
牙碜	ya2'chen3
牙慧	ya2'hui4
牙轮	ya2'lun2
亚麻布	ya4'ma2'bu4
芫荽	yan2'sui1
盐花	yan2'hua1
盐卤	yan2'lu3
艳情	yan4'qing2
艳冶	yan4'ye3
秧歌剧	yang1'ge1'ju4
阳春面	yang2'chun1'mian4
阳关大道	yang2'guan1'da4'dao4
腰肌劳损	yao1'ji1'lao2'sun3
药引子	yao4'yin3'zi3
野葡萄	ye3'pu2'tao2
一通百通	yi1'tong1'bai3'tong1
一无所能	yi1'wu2'suo3'neng2
一语破的	yi1'yu3'po4'di4
衣摆	yi1'bai3
遗祸	yi2'huo4
义捐	yi4'juan1
亦庄亦谐	yi4'zhuang1'yi4'xie2
异才	yi4'cai2
因事制宜	yin1'shi4'zhi4'yi2
阴功	yin1'gong1
饮弹	yin3'dan4
荧幕	ying2'mu4
影印件	ying3'yin4'jian4
泳镜	yong3'jing4
