表侄	biao3'zhi2
别有洞天	bie2'you3'dong4'tian1
兵刃	bing1'ren4
补写	bu3'xie3
彩头	cai3'tou2
残生	can2'sheng1
拆阅	chai1'yue4
长方脸	chang2'fang1'lian3
尝新	chang2'xin1
厂规	chang3'gui1
畅行	chang4'xing2
超然物外	chao1'ran2'wu4'wai4
陈酒	chen2'jiu3
成龙配套	cheng2'long2'pei4'tao4
城市病	cheng2'shi4'bing4
城市贫民	cheng2'shi4'pin2'min2
踟蹰	chi2'chu2
尺牍	chi3'du2
重言	chong2'yan2
初露锋芒	chu1'lu4'feng1'mang2
锄奸	chu2'jian1
处之泰然	chu3'zhi1'tai4'ran2
春卷	chun1'juan3
春心	chun1'xin1
蠢猪	chun3'zhu1
搭售	da1'shou4
打短工	da3'duan3'gong1
打预防针	da3'yu4'fang2'zhen1
大花脸	da4'hua1'lian3
担承	dan1'cheng2
倒插门	dao4'cha1'men2
道学先生	dao4'xue2'xian1'sheng1
帝君	di4'jun1
吊民伐罪	diao4'min2'fa2'zui4
东施效颦	dong1'shi1'xiao4'pin2
动作片	dong4'zuo4'pian4
洞箫	dong4'xiao1
杜康	du4'kang1
敦请	dun1'qing3
多谋善断	duo1'mou2'shan4'duan4
堕地	duo4'de
发木	fa1'mu4
贩假	fan4'jia3
芳龄	fang1'ling2
飞吻	fei1'wen3
分账	fen1'zhang4
分值	fen1'zhi2
风雪交加	feng1'xue3'jiao1'jia1
凤仙花	feng4'xian1'hua1
夫妻店	fu1'qi1'dian4
福至心灵	fu2'zhi4'xin1'ling2
俯就	fu3'jiu4
腐蚀剂	fu3'shi2'ji4
讣闻	fu4'wen2
负约	fu4'yue1
复利	fu4'li4
副题	fu4'ti2
弓子	gong1'zi3
枸杞子	gou3'qi3'zi3
挂毯	gua4'tan3
官价	guan1'jia4
规制	gui1'zhi4
滚边	gun3'bian1
孩子王	hai2'zi'wang2
海涵	hai3'han2
憨态	han1'tai4
含而不露	han2'er2'bu4'lu4
耗竭	hao4'jie2
河工	he2'gong1
鹤发童颜	he4'fa4'tong2'yan2
黑面包	hei1'mian4'bao1
宏达	hong2'da2
胡搞	hu2'gao3
互谅互让	hu4'liang4'hu4'rang4
滑道	hua2'dao4
画刊	hua4'kan1
患处	huan4'chu4
灰质	hui1'zhi4
回拜	hui2'bai4
悔过自新	hui3'guo4'zi4'xin1
婚龄	hun1'ling2
藿香	huo4'xiang1
机器翻译	ji1'qi4'fan1'yi4
极权	ji2'quan2
极盛	ji2'sheng4
急眼	ji2'yan3
集成化	ji2'cheng2'hua4
奸杀	jian1'sha1
监守自盗	jian1'shou3'zi4'dao4
兼课	jian1'ke4
兼容并包	jian1'rong2'bing4'bao1
姜黄	jiang1'huang2
酱豆腐	jiang4'dou4'fu3
交杯酒	jiao1'bei1'jiu3
焦心	jiao1'xin1
劫富济贫	jie2'fu4'ji4'pin2
解热	jie3're4
借问	jie4'wen4
进度表	jin4'du4'biao3
晋谒	jin4'ye4
经济舱	jing1'ji4'cang1
九鼎	jiu3'ding3
酒囊饭袋	jiu3'nang2'fan4'dai4
酒铺	jiu3'pu1
酒器	jiu3'qi4
舅子	jiu4'zi3
据有	ju4'you3
咖啡豆	ka1'fei1'dou4
空场	kong1'chang3
狂涛	kuang2'tao1
拉杆	la1'gan1
狼烟	lang2'yan1
老调重弹	lao3'diao4'chong2'tan2
乐陶陶	le4'tao2'tao2
肋条	lei4'tiao2
冷枪	leng3'qiang1
离群索居	li2'qun2'suo3'ju1
力避	li4'bi4
丽质	li4'zhi4
连发	lian2'fa1
连枷	lian2'jia1
两立	liang3'li4
邻接	lin2'jie1
领赏	ling3'shang3
马前卒	ma3'qian2'zu2
买好	mai3'hao3
麦秆儿	mai4'gan3'er
满处	man3'chu3
幔子	man4'zi3
毛囊	mao2'nang2
镁光灯	mei3'guang1'deng1
门禁	men2'jin4
面膜	mian4'mo2
名厨	ming2'chu2
鸣金收兵	ming2'jin1'shou1'bing1
鸣锣开道	ming2'luo2'kai1'dao4
鸣炮	ming2'pao4
螟虫	ming2'chong2
拿手戏	na2'shou3'xi4
奶羊	nai3'yang2
内人	nei4'ren2
盘诘	pan2'jie2
配色	pei4'se4
喷口	pen1'kou3
盆腔	pen2'qiang1
僻壤	pi4'rang3
偏头痛	pian1'tou2'tong4
偏斜	pian1'xie2
平信	ping2'xin4
奇珍	qi2'zhen1
起承转合	qi3'cheng2'zhuan3'he2
气井	qi4'jing3
谦谦君子	qian1'qian1'jun1'zi3
抢匪	qiang3'fei3
抢建	qiang3'jian4
敲边鼓	qiao1'bian1'gu3
巧思	qiao3'si1
俏货	qiao4'huo4
窃据	qie4'ju4
青面獠牙	qing1'mian4'liao2'ya2
清夜	qing1'ye4
趣谈	qu4'tan2
缺斤少两	que1'jin1'shao3'liang3
裙带关系	qun2'dai4'guan1'xi4
热压	re4'ya1
人防工程	ren2'fang2'gong1'cheng2
人情债	ren2'qing2'zhai4
人造丝	ren2'zao4'si1
撒旦	sa1'dan4
三岔路口	san1'cha4'lu4'kou3
丧魂落魄	sang4'hun2'luo4'po4
色欲	se4'yu4
杀一儆百	sha1'yi1'jing3'bai3
晒场	shai4'chang3
伤残人	shang1'can2'ren2
上轨道	shang4'gui3'dao4
