堂姐妹	tang2'jie3'mei4
棠棣	tang2'di4
躺柜	tang3'gui4
逃敌	tao2'di2
陶塑	tao2'su4
淘神	tao2'shen2
套索	tao4'suo3
特体	te4'ti3
特种警察	te4'zhong3'jing3'cha2
提梁	ti2'liang2
调唆	tiao2'suo1
铁树开花	tie3'shu4'kai1'hua1
通假	tong1'jia3
同等学力	tong2'deng3'xue2'li4
捅娄子	tong3'lou2'zi
偷天换日	tou1'tian1'huan4'ri4
投映	tou2'ying4
吐絮	tu3'xu4
退礼	tui4'li3
托门子	tuo1'men2'zi3
拖运	tuo1'yun4
袜带	wa4'dai4
外耳	wai4'er3
万用表	wan4'yong4'biao3
网绳	wang3'sheng2
枉驾	wang3'jia4
妄取	wang4'qu3
维尼纶	wei2'ni2'lun2
为人作嫁	wei4'ren2'zuo4'jia4
畏葸不前	wei4'xi3'bu4'qian2
稳便	wen3'bian4
钨丝	wu1'si1
物阜民丰	wu4'fu4'min2'feng1
惜老怜贫	xi1'lao3'lian2'pin2
喜娘	xi3'niang2
戏衣	xi4'yi1
瞎子摸象	xia1'zi3'mo1'xiang4
涎皮赖脸	xian2'pi2'lai4'lian3
线裤	xian4'ku4
相烦	xiang1'fan2
香干儿	xiang1'gan1'er2
象鼻虫	xiang4'bi2'chong2
小抄儿	xiao3'chao1'er
小而言之	xiao3'er2'yan2'zhi1
小苏打	xiao3'su1'da2
小叶杨	xiao3'ye4'yang2
叶韵	ye4'yun4
挟嫌报复	xie2'xian2'bao4'fu4
鞋拔子	xie2'ba2'zi3
新正	xin1'zheng1
惺惺作态	xing1'xing1'zuo4'tai4
杏脯	xing4'pu2
杏红	xing4'hong2
杏仁茶	xing4'ren2'cha2
凶死	xiong1'si3
雄峙	xiong2'zhi4
修眉	xiu1'mei2
羞人答答	xiu1'ren2'da1'da1
朽坏	xiu3'huai4
秀拔	xiu4'ba2
袖箍	xiu4'gu1
叙事文	xu4'shi4'wen2
续借	xu4'jie4
悬望	xuan2'wang4
选留	xuan3'liu2
学阀	xue2'fa2
雪泥鸿爪	xue3'ni2'hong2'zhao3
血沉	xue4'chen2
血栓病	xue4'shuan1'bing4
寻摸	xun2'mo1
巡哨	xun2'shao4
压仓	ya1'cang1
鸭肫	ya1'zhun1
岩羊	yan2'yang2
炎暑	yan2'shu3
掩泣	yan3'qi4
验查	yan4'cha2
扬波	yang2'bo1
养虎遗患	yang3'hu3'yi2'huan4
谣谚	yao2'yan4
摇摆舞	yao2'bai3'wu3
椰蓉	ye1'rong2
一唱百和	yi1'chang4'bai3'he4
一竿子插到底	yi1'gan1'zi'cha1'dao4'di3
医案	yi1'an4
以人废言	yi3'ren2'fei4'yan2
异读	yi4'du2
益母草	yi4'mu3'cao3
臆说	yi4'shuo1
阴电	yin1'dian4
阴笑	yin1'xiao4
银红	yin2'hong2
银楼	yin2'lou2
引座	yin3'zuo4
饮牲口	yin3'sheng1'kou3
应届生	ying1'jie4'sheng1
咏怀	yong3'huai2
油气流	you2'qi4'liu2
油头滑脑	you2'tou2'hua2'nao3
有声读物	you3'sheng1'du2'wu4
迂夫子	yu1'fu1'zi3
迂曲	yu1'qu1
娱乐厅	yu2'le4'ting1
逾常	yu2'chang2
语气词	yu3'qi4'ci2
玉兰片	yu4'lan2'pian4
预考	yu4'kao3
原唱	yuan2'chang4
辕马	yuan2'ma3
远视眼	yuan3'shi4'yan3
月偏食	yue4'pian1'shi2
杂食	za2'shi2
闸刀	zha2'dao1
掌灶	zhang3'zao4
丈人	zhang4'ren2
遮护	zhe1'hu4
震古烁今	zhen4'gu3'shuo4'jin1
争强	zheng1'qiang2
征聘	zheng1'pin4
正编	zheng4'bian1
正课	zheng4'ke4
