案牍	an4'du2
月明星稀	yue4'ming2'xing1'xi1
韵母	yun4'mu3
咂舌	za1'she2
择期	ze2'qi1
贼溜溜	zei2'liu1'liu1
乍暖还寒	zha4'nuan3'hai2'han2
债户	zhai4'hu4
展宽	zhan3'kuan1
站票	zhan4'piao4
章回体	zhang1'hui2'ti3
招办	zhao1'ban4
折纸	zhe2'zhi3
针法	zhen1'fa3
雉鸡	zhi4'ji1
中耳	zhong1'er3
忠骨	zhong1'gu3
中彩	zhong1'cai3
重犯	zhong4'fan4
主枝	zhu3'zhi1
祝酒歌	zhu4'jiu3'ge1
砖茶	zhuan1'cha2
转氨酶	zhuan3'an1'mei2
准假	zhun3'jia3
自卖自夸	zi4'mai4'zi4'kua1
棕熊	zong1'xiong2
族权	zu2'quan2
醉乡	zui4'xiang1
做鬼脸	zuo4'gui3'lian3
碍难	ai4'nan2
安全岛	an1'quan2'dao3
按例	an4'li4
白头翁	bai2'tou2'weng1
摆荡	bai3'dang4
败火	bai4'huo3
班期	ban1'qi1
伴郎	ban4'lang2
伴同	ban4'tong2
抱恨	bao4'hen4
暴毙	bao4'bi4
备注	bei4'zhu4
绷子	beng1'zi
闭门思过	bi4'men2'si1'guo4
便帽	bian4'mao4
便桶	bian4'tong3
遍于	bian4'yu2
别情	bie2'qing2
病号饭	bing4'hao4'fan4
病恹恹	bing4'yan1'yan1
伯劳	bo2'lao2
补漏	bu3'lou4
部类	bu4'lei4
簿册	bu4'ce4
参拍	can1'pai1
参悟	can1'wu4
蚕蛾	can2'e2
测光	ce4'guang1
插叙	cha1'xu4
缠扰	chan2'rao3
长物	chang2'wu4
长斋	chang2'zhai1
常春藤	chang2'chun1'teng2
常量	chang2'liang4
唱独角戏	chang4'du2'jiao3'xi4
陈酿	chen2'niang4
成约	cheng2'yue1
痴笑	chi1'xiao4
重样	chong2'yang4
丑相	chou3'xiang1
出口伤人	chu1'kou3'shang1'ren2
出入证	chu1'ru4'zheng4
出脱	chu1'tuo1
储金	chu3'jin1
窗扇	chuang1'shan4
辞让	ci2'rang4
