砸饭碗	za2'fan4'wan3
砸牌子	za2'pai2'zi3
暂缺	zan4'que1
贼星	zei2'xing1
炸锅	zha4'guo1
战斗舰	zhan4'dou4'jian4
獐头鼠目	zhang1'tou2'shu3'mu4
掌鞭	zhang3'bian1
仗胆	zhang4'dan3
障蔽	zhang4'bi4
遮阳篷	zhe1'yang2'peng2
贞烈	zhen1'lie4
争长论短	zheng1'chang2'lun4'duan3
蒸饼	zheng1'bing3
蒸汽浴	zheng1'qi4'yu4
支店	zhi1'dian4
支招儿	zhi1'zhao1'er
支子	zhi1'zi3
织补	zhi1'bu3
直撅撅	zhi2'jue1'jue1
中楷	zhong1'kai3
众口铄金	zhong4'kou3'shuo4'jin1
助动词	zhu4'dong4'ci2
专修科	zhuan1'xiu1'ke1
转弯子	zhuan3'wan1'zi
转写	zhuan3'xie3
壮门面	zhuang4'men2'mian4
准谱儿	zhun3'pu3'er
籽棉	zi3'mian2
字谜	zi4'mi2
走嘴	zou3'zui3
钻井船	zuan4'jing3'chuan2
爱克斯光	ai4'ke4'si1'guang1
安如泰山	an1'ru2'tai4'shan1
暗疾	an4'ji2
暗转	an4'zhuan3
凹面	ao1'mian4
八字眉	ba1'zi4'mei2
巴儿狗;叭儿狗	ba1'er'gou3
坝身	ba4'shen1
掰腕子	bai1'wan4'zi3
白铁皮	bai2'tie3'pi2
白眼儿狼	bai2'yan3'er'lang2
百分率	bai3'fen1'lv4
棒操	bang4'cao1
包伙	bao1'huo3
龅牙	bao1'ya2
背鳍	bei4'qi2
被絮	bei4'xu4
本册	ben3'ce4
本愿	ben3'yuan4
蹦床	beng4'chuang2
秕谷	bi3'gu3
笔立	bi3'li4
鞭打快牛	bian1'da3'kuai4'niu2
贬称	bian3'cheng1
贬职	bian3'zhi2
变电器	bian4'dian4'qi4
便览	bian4'lan3
便人	bian4'ren2
标量	biao1'liang4
标卖	biao1'mai4
标样	biao1'yang4
标准像	biao1'zhun3'xiang4
别树一帜	bie2'shu4'yi1'zhi4
冰坝	bing1'ba4
冰车	bing1'che1
冰溜	bing1'liu4
补酒	bu3'jiu3
不无小补	bu4'wu2'xiao3'bu3
擦子	ca1'zi3
彩卷	cai3'juan3
